PptID,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
118,0,0,50,50,25,25,25,25,0,0,50,50,0,0,50,50,1
138,0,10,70,20,0,10,70,20,0,0,100,0,0,20,50,30,1.4
151,0,0,60,40,0,0,80,20,0,0,50,50,25,25,25,25,2
217,0,0,100,0,0,0,0,100,0,0,0,100,0,0,100,0,1
144,0,0,90,10,0,0,100,0,0,0,100,0,30,70,0,0,1.6
110,0,0,95,5,5,10,80,5,0,50,50,0,30,50,20,0,1.2
125,0,50,50,0,0,50,50,0,25,25,40,10,0,25,75,0,3
237,0,0,80,20,60,10,20,10,25,25,25,25,30,30,30,10,2.6
186,0,0,50,50,0,0,50,50,0,0,100,0,0,0,70,30,1.4
120,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,2.2
102,0,0,80,20,10,10,60,20,0,0,100,0,0,65,30,5,1.8
292,0,8,80,12,25,25,25,25,80,10,5,5,25,25,25,25,1.8
305,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,5
337,0,33,52,15,0,22,78,0,0,20,0,80,34,32,34,0,1.8
185,0,60,40,0,0,30,70,0,0,0,50,50,25,25,25,25,1
161,0,0,0,100,0,0,4,96,0,0,98,2,4,0,96,0,1.4
231,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,4
172,0,0,75,25,0,0,0,100,25,15,40,20,20,10,20,50,2.2
267,0,0,100,0,0,0,100,0,0,60,20,20,0,0,100,0,1.2
306,0,0,0,100,0,0,100,0,0,0,0,100,0,0,50,50,2.4
229,0,5,90,5,0,0,100,0,0,0,0,100,10,20,50,20,1.8
365,0,0,75,25,0,0,50,50,0,25,50,25,5,75,15,5,1.8
381,0,40,60,0,10,40,30,20,0,50,50,0,0,50,50,0,2.2
227,0,0,20,80,0,0,20,80,0,0,50,50,0,0,30,70,1
160,0,0,100,0,0,0,100,0,100,0,0,0,0,0,100,0,2.2
199,0,0,100,0,100,0,0,0,0,0,0,100,0,100,0,0,2.8
228,3,18,50,29,2,10,75,13,2,5,65,28,25,45,25,5,1
291,5,50,35,10,0,0,100,0,0,100,0,0,10,10,60,20,1
108,5,60,25,10,80,20,0,0,5,80,15,0,30,30,30,10,1
277,5,25,50,20,2,0,85,13,0,0,90,10,5,15,75,5,2
183,5,60,20,15,0,50,20,30,30,10,40,20,10,50,20,20,1.8
264,5,10,65,20,0,0,50,50,100,0,0,0,20,30,30,20,1
191,5,25,45,25,10,30,40,20,20,25,30,25,5,25,45,25,1.2
300,7,56,24,13,15,35,27,23,25,46,16,13,14,36,34,16,1.2
