PptID,STEM,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
116,3,20,35,30,15,50,0,50,0,30,40,20,10,13,40,27,20,1.6
115,5,25,40,30,5,45,50,5,0,20,60,20,0,20,30,40,10,1.2
130,1,10,40,40,10,35,15,30,20,25,25,40,10,20,30,40,10,1.6
129,3,30,30,20,20,10,20,30,40,20,20,20,40,20,20,30,30,2
121,2,50,50,0,0,50,50,0,0,50,50,0,0,10,40,30,20,2.6
143,5,40,40,10,10,50,30,10,10,50,50,0,0,20,20,30,30,1.4
154,2,15,35,30,20,45,5,5,45,5,45,40,10,15,35,40,10,1.2
136,2,25,25,25,25,0,20,40,40,0,0,50,50,20,40,20,20,2.4
222, , , , , , , , , , , , , , , , , , 
113, , , , , , , , , , , , , , , , , , 
117,1,25,25,25,25,0,50,50,0,0,50,50,0,20,50,30,0,2.6
141,3,15,25,35,25,90,0,10,0,10,90,0,0,0,30,30,40,1.4
251,1,40,40,10,10,40,50,5,5,30,60,5,5,70,20,5,5,2.4
291,5,5,50,35,10,0,0,100,0,0,100,0,0,10,10,60,20,1
111,3,40,15,30,15,10,0,60,30,80,0,10,10,0,0,50,50,1
118,1,0,0,50,50,25,25,25,25,0,0,50,50,0,0,50,50,1
119, , , , , , , , , , , , , , , , , , 
122,1,20,35,35,10,0,0,50,50,0,0,50,50,50,20,15,15,1
145,1,13,20,30,37,20,20,30,30,30,30,30,10,20,20,40,20,2.4
138,4,0,10,70,20,0,10,70,20,0,0,100,0,0,20,50,30,1.4
112,5,40,40,10,10,100,0,0,0,0,0,50,50,0,0,50,50,1
133, ,30,20,35,15,20,20,45,15,20,25,35,20,15,35,40,10,2
151,1,0,0,60,40,0,0,80,20,0,0,50,50,25,25,25,25,2
217,1,0,0,100,0,0,0,0,100,0,0,0,100,0,0,100,0,1
144,1,0,0,90,10,0,0,100,0,0,0,100,0,30,70,0,0,1.6
153, , , , , , , , , , , , , , , , , , 
147,1, , , , , , , , , , , , , , , , ,2.4
135,1,20,20,50,10,25,10,50,15,25,25,25,25,10,10,60,20,3
142, , , , , , , , , , , , , , , , , , 
150,5,10,30,50,10,15,50,30,5,5,0,50,45,20,70,5,5,1
110,1,0,0,95,5,5,10,80,5,0,50,50,0,30,50,20,0,1.2
125,1,0,50,50,0,0,50,50,0,25,25,40,10,0,25,75,0,3
155,2,15,35,35,15,20,30,30,20,15,35,35,15,10,40,40,10,1
237,1,0,0,80,20,60,10,20,10,25,25,25,25,30,30,30,10,2.6
148,1,20,30,40,10,30,30,20,20,30,20,40,10,10,30,50,10,1.2
134,1,40,40,10,10,25,25,25,25,25,25,25,25,25,25,25,25,3
186,1,0,0,50,50,0,0,50,50,0,0,100,0,0,0,70,30,1.4
157,1,15,70,5,10,60,40,0,0,60,40,0,0,30,55,5,10,2.6
263,1,25,50,10,15,20,50,10,20,15,55,10,20,10,25,15,50,1
187,5, , , , , , , , , , , , , , , , , 
103,1,25,25,25,25,50,40,5,5,5,5,50,40,80,10,5,5, 
120,1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,2.2
102,1,0,0,80,20,10,10,60,20,0,0,100,0,0,65,30,5,1.8
140,1,21,30,30,19,20,30,21,29,29,30,29,12,30,30,15,25,1.2
139,5,25,35,30,10,92,7,0.1,0.9,0,0,50,50,10,15,37.5,37.5,1.6
107,4, , , , , , , , , , , , , , , , ,2.6
108,5,5,60,25,10,80,20,0,0,5,80,15,0,30,30,30,10,1
109,5,20,30,25,25,15,45,30,10,10,20,35,35,40,10,30,20,1.2
127, , , , , , , , , , , , , , , , , , 
131,4,10,40,40,10,50,50,0,0,0,0,50,50,10,30,40,20,2
189, , , , , , , , , , , , , , , , , , 
128,5,10,50,20,20,60,0,40,0,10,30,20,40,20,20,40,20,1.2
149,5,20,30,20,30,20,30,30,20,20,30,20,30,30,20,30,20,1
123,1,20,70,10,0,20,70,10,0,0,20,0,80,50,10,20,20,2
215, , , , , , , , , , , , , , , , , , 
146, , , , , , , , , , , , , , , , , , 
132, , , , , , , , , , , , , , , , , , 
114, , , , , , , , , , , , , , , , , , 
124, , , , , , , , , , , , , , , , , , 
152, , , , , , , , , , , , , , , , , , 
285,1,25,25,20,30,65,25,10,0,20,10,35,35,40,50,5,5,1.2
250,5,35,30,25,10,30,15,45,10,100,0,0,0,30,25,35,10,2.6
280,2,35,20,40,5,50,45,5,0,30,70,0,0,70,25,5,0,2.4
259,1,10,30,40,20,0,10,80,10,0,15,75,10,5,70,20,5,1.6
289,1, , , , , , , , , , , , , , , , ,1.4
247,1,35,25,10,30,30,40,20,10,26,30,35,9,25,40,30,5,1
182,4,25,35,40,0,25,35,40,0,0,10,90,0,0,30,40,30,2
292,1,0,8,80,12,25,25,25,25,80,10,5,5,25,25,25,25,1.8
310,4,20,35,25,20,25,40,25,10,5,55,30,10,25,25,30,20,2.4
209,3,30,40,20,10,30,20,30,20,0,100,0,0,20,30,30,20,1.2
176,3,20,40,20,20,20,30,20,30,20,40,20,20,30,40,20,10,2.4
309,1,30,20,30,20,26,20,20,34,25,24,12,39,17,37,12,34,2.8
366,2,20,30,30,20,30,30,20,20,40,40,10,10,25,30,30,15,1.4
288,4,20,30,25,25,25,25,25,25,20,40,20,20,30,50,10,10,2.4
273,5,15,35,35,15,10,70,10,10,5,85,5,5,20,20,30,30,1.6
180,3,10,40,30,20,5,50,35,10,55,0,45,0,15,35,40,10,1.4
278,5,20,30,30,20,24,34,20,22,20,40,40,0,18,40,0,42,1.6
311,1,50,10,20,20,10,30,30,30,30,20,30,20,20,30,20,30,2
313,4,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,2.2
296,1,10,70,10,10,50,10,20,20,10,60,10,20,40,10,20,30,3.4
283,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3
343,4,20,30,30,20,20,20,40,20,50,0,50,0,10,65,15,10,1.2
332,5,20,40,30,10,15,35,30,20,25,25,30,20,25,25,25,25,1.6
362,5,70,30,0,0,15,50,30,5,30,30,30,10,25,25,25,25,2.6
181,1, , , , , , , , , , , , , , , , ,1
274,2,15,35,30,20,10,30,30,30,20,10,40,30,20,20,30,30,1.6
358,5,10,60,20,10,20,60,10,10,20,50,20,10,10,60,20,10,1.2
174,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.75
175,4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.6
194,1,20,30,30,20,10,30,40,20,30,30,20,20,25,25,25,25,1.6
196, , , , , , , , , , , , , , , , , , 
235,2,35,15,25,25,10,90,0,0,40,50,10,0,40,60,0,0, 
269,5,10,25,40,25,1,65,4,30,20,30,50,0,45,10,35,10,1
295,1,20,30,25,25,15,10,50,25,10,10,60,20,10,15,40,35,2.2
315,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1
318, , , , , , , , , , , , , , , , , , 
163, , , , , , , , , , , , , , , , , , 
223,1,20,20,30,30,0,0,50,50,5,55,40,0,30,50,10,10,1.6
230,1,10,50,20,20,10,50,20,20,10,50,20,20,10,50,20,20,2.2
240,2,25,25,25,25,20,20,30,30,5,45,15,35,20,20,30,30,1.4
245,4,25,25,25,25,60,10,10,20,50,0,50,0,50,5,20,25,1.6
277,1,5,25,50,20,2,0,85,13,0,0,90,10,5,15,75,5,2
282,1,46,45,5,4,80,1,10,9,9,0,90,1,4,11,55,30,2.8
305,1,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,5
308,1,100,0,0,0,100,0,0,0,80,5,5,10,25,25,25,25,1
314,1,25,25,25,25,25,25,25,25,25,10,25,40,30,10,10,50,2.6
320,2,25,25,25,25,45,25,10,20,0,0,50,50,25,25,25,25,2
337,2,0,33,52,15,0,22,78,0,0,20,0,80,34,32,34,0,1.8
351,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.4
364,1,10,40,40,10,10,10,40,40,0,50,0,50,10,30,30,30,3
383,1,25,20,25,30,20,20,30,30,0,20,40,40,20,30,30,20,2
384,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
177,2,25,25,25,25,50,10,30,10,25,25,25,25,40,10,40,10,2.6
158,1,39,30,18,13,0,25,50,25,30,20,20,30,10,14,46,30,1.25
185,3,0,60,40,0,0,30,70,0,0,0,50,50,25,25,25,25,1
252,1,10,70,10,10,10,90,0,0,20,50,30,0,10,40,10,40,1.8
266,1,30,30,20,20,20,50,20,10,0,0,0,100,0,0,0,100,3.4
272,1,9,31,50,10,5,10,65,20,4,8,75,13,8,35,40,17,1.2
290, , , , , , , , , , , , , , , , , , 
293,5,50,40,10,0,0,50,50,0,0,0,10,90,0,50,40,10,1
294,1,10,30,50,10,0,50,40,10,0,50,50,0,0,50,50,0,1.6
297,1,60,20,10,10,60,10,10,20,10,20,30,40,10,20,30,40,2.6
327,1,15,40,35,10,10,10,50,30,0,0,50,50,25,30,30,15,2.2
346, , , , , , , , , , , , , , , , , , 
380,2,40,25,25,10,50,40,10,0,50,30,20,0,10,50,30,10,1.8
165,1,10,30,40,20,10,10,40,40,0,50,50,0,20,20,30,30,3
183,3,5,60,20,15,0,50,20,30,30,10,40,20,10,50,20,20,1.8
216,1,50,10,10,30,10,60,10,20,70,10,10,10,20,20,40,20,2.2
249,2,30,30,20,20,20,40,20,20,15,25,30,30,30,30,20,20,1.2
265,2,20,30,30,20,40,40,15,5,50,25,0,25,25,25,25,25,1
281,1,10,40,40,10,0,10,50,40,0,10,90,0,5,40,30,25,2.2
298,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1.8
329,1,30,20,50,0,10,15,50,25,30,20,40,10,10,50,20,20,1.6
342,1,10,30,50,10,20,50,30,0,20,40,40,0,20,50,25,5,1.6
345,3,15,40,30,15,50,0,50,0,0,40,60,0,20,30,40,10,1.4
359,3,20,40,25,15,13,12,75,0,29,14,43,14,10,40,40,10,1
361,1,10,30,50,10,20,10,40,30,20,10,40,30,20,50,10,20,1
178,1,97,1,1,1,97,1,1,1,97,1,1,1,98,1,0,1,3
201,1,13,25,34,28,30,15,15,40,15,30,25,30,52,25,12,11, 
236,1,50,25,15,10,20,35,40,5,45,10,30,15,80,5,5,10,1
326,1,30,20,20,30,30,20,20,30,30,20,20,30,10,20,30,40,1.4
363,1,50,30,20,0,90,0,5,5,0,100,0,0,0,0,100,0,1.5
161,1,0,0,0,100,0,0,4,96,0,0,98,2,4,0,96,0,1.4
