Geography,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,44,41,41,41,41,50,42,53,44,50,55,52,42,46
Alaska,30,36,38,32,33,32,35,34,37,29,31,23,24,38
Arizona,36,35,35,35,36,38,38,37,37,36,38,38,32,35
Arkansas,34,37,40,44,40,43,40,41,42,50,42,52,52,29
California,39,41,38,40,41,42,38,42,40,40,39,35,28,29
Colorado,31,32,35,34,36,40,34,37,37,40,37,39,28,10
Connecticut,32,33,32,34,32,34,29,30,29,29,28,27,8,7
Delaware,35,-40,26,39,38,36,33,21,22,18,18,14,13,6
District of Columbia,58,49,57,44,43,51,45,58,41,33,26,27,13,16
Florida,32,33,32,34,34,33,29,32,30,29,26,21,12,10
Georgia,32,33,31,31,33,33,28,31,31,27,29,29,24,25
Hawaii,28,28,25,23,30,25,29,30,33,28,28,22,23,20
Idaho,29,29,34,32,32,38,35,40,25,19,18,12,9,8
Illinois,41,39,38,38,43,38,35,41,35,39,37,38,22,10
Indiana,38,38,37,37,39,38,34,39,35,36,36,33,29,29
Iowa,48,50,0,42,32,45,41,46,40,45,40,61,38,37
Kansas,42,36,39,35,36,24,32,40,39,30,47,36,41,43
Kentucky,43,38,39,36,39,39,43,40,48,40,47,51,35,49
Louisiana,39,42,35,42,45,44,48,45,45,44,49,46,47,51
Maine,40,38,18,12,16,12,14,13,13,12,14,24,6,5
Maryland,33,34,34,34,33,36,31,31,27,26,27,23,23,21
Massachusetts,34,34,35,36,33,35,32,33,32,31,33,31,26,26
Michigan,42,39,39,41,42,36,37,37,39,42,51,43,9,9
Minnesota,42,37,36,38,36,41,42,44,34,46,37,47,30,44
Mississippi,44,54,42,47,54,34,62,43,29,44,57,43,40,57
Missouri,33,34,33,35,36,36,36,37,38,37,28,39,39,45
Montana,31,27,37,33,38,33,25,37,42,33,33,35,134,38
Nebraska,48,40,38,34,50,52,44,52,38,56,34,49,42,40
Nevada,37,35,36,37,32,40,34,35,35,34,34,35,37,43
New Hampshire,37,37,35,33,38,34,35,39,31,36,34,36,10,10
New Jersey,32,31,32,32,34,34,29,33,19,29,29,28,23,22
New Mexico,44,29,40,37,44,34,35,32,32,32,39,36,38,30
New York,32,32,33,31,32,31,28,30,27,27,29,26,22,16
North Carolina,29,29,30,29,30,27,27,29,28,29,29,31,27,26
North Dakota,36,30,42,43,40,38,56,43,44,29,41,28,-54,33
Ohio,39,38,38,38,40,40,36,38,37,37,38,36,28,23
Oklahoma,45,37,50,43,50,49,43,43,31,46,38,52,24,126
Oregon,35,37,36,39,38,41,35,39,39,38,40,38,33,37
Pennsylvania,35,35,35,35,36,34,31,34,31,32,32,32,28,28
Rhode Island,33,34,33,37,36,35,34,34,29,33,28,35,28,16
South Carolina,32,30,31,32,30,29,28,29,28,29,30,29,27,26
South Dakota,36,41,41,48,43,57,63,54,72,39,48,61,51,51
Tennessee,41,36,38,37,43,40,37,36,40,37,36,38,34,32
Texas,31,30,30,30,30,31,27,29,25,26,26,23,17,18
Utah,36,38,43,40,38,27,37,41,36,37,-51,50,36,48
Vermont,32,33,33,38,31,37,33,37,27,33,29,32,26,29
Virginia,32,31,32,31,33,35,31,33,30,29,30,32,25,28
Washington,34,38,34,35,35,36,34,37,34,31,27,28,22,22
West Virginia,41,41,45,37,35,41,44,41,29,44,26,34,37,18
Wisconsin,30,39,34,35,40,36,36,41,33,44,42,36,36,35
Wyoming,33,19,29,59,64,28,27,20,48,46,33,54,21,40
 ,,,,,,,,,,,,,,
