Geography,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,2.226147368,2.128832396,2.078342094,2.088188664,1.85638834,2.127920987,1.970595019,1.998474894,2.186491843,2.06042606,2.11566965,2.41692211,2.029321416,2.396586726
Alaska,2.317722574,2.568189921,2.820166882,2.011534527,2.303922395,2.157269206,2.536920013,2.527954171,3.00563316,2.343753015,2.348857538,2.258467916,1.977088095,2.17735577
Arizona,2.624261393,2.508125034,2.36290963,2.465236673,2.301472967,2.498636575,2.176295923,2.682544654,2.546771762,2.282601977,2.523672427,2.563923611,2.680650138,2.761608897
Arkansas,1.606640733,1.322267893,1.35581733,1.21142707,1.145376708,1.272773628,1.359930391,1.402027882,1.321810366,1.432473556,1.502069757,1.592719524,1.475819005,1.687926069
California,2.744782737,2.611405769,2.56535594,2.733538332,2.600336358,2.477746333,2.57866463,2.637842017,2.674345311,2.851907296,2.987282183,3.105411298,3.070699053,3.125598154
Colorado,3.879632972,3.487803145,3.632334363,3.708704373,3.537078388,3.398542153,3.446894822,3.611339427,3.385458998,3.466037646,3.767674022,4.116235874,4.149212534,4.150183774
Connecticut,3.149449233,3.100138592,3.141713845,3.286852784,3.102434496,2.750568633,2.851025285,2.741454953,2.954415229,3.20115611,2.878819735,3.380846146,2.943313564,3.528762169
Delaware,2.634486171,2.742767515,3.053149758,2.313837057,2.748812639,2.165236446,2.170128782,2.663716069,3.260070928,2.528972692,2.551254774,2.492146377,2.921226853,2.129382354
District of Columbia,1.708499843,1.032454526,1.926256005,2.293331021,2.173470337,3.009104272,2.038211968,2.216156337,2.558169268,3.021048279,2.473305364,4.33152623,2.459253027,2.684626339
Florida,2.064959105,1.868855152,1.848142228,1.935883861,1.808419553,1.695132971,1.636920438,1.890216258,1.757164841,1.927809743,1.749422429,1.931009031,1.983923061,2.047018075
Georgia,2.213584859,2.080018078,1.958206411,2.253120838,2.081161836,1.950243619,1.981632534,2.062174468,2.331713533,2.028106685,2.392254606,2.29108263,2.55629,2.312520492
Hawaii,1.512292833,1.963564964,1.883757874,1.951807954,1.557323714,1.803298983,2.339977906,1.769466,1.570600781,2.269060756,1.931675968,1.941515557,1.971682133,2.22958066
Idaho,2.851845389,2.348721869,2.41622124,2.741984057,2.516713053,2.544644571,2.58818258,2.458827882,2.480732618,2.694359858,2.846853453,2.572059837,2.002999983,2.608198496
Illinois,2.257523655,2.398467271,2.380346447,2.484685702,2.414999893,2.250989465,2.3004577,2.459914085,2.392336858,2.651072922,2.732747177,2.648487143,2.737190832,2.748815077
Indiana,2.111160925,2.152950739,2.112865027,2.402598519,1.991594396,1.809733894,2.153026807,1.949076607,2.104452969,2.147608834,2.346460253,2.188081164,2.443904751,2.762478245
Iowa,2.180066009,2.2027905,1.851818944,2.134256768,2.475149062,1.946903864,2.244543363,2.388385187,2.256835376,2.199271476,2.348066619,2.483023878,2.565745119,2.508910356
Kansas,2.627558839,2.33138972,2.33187666,2.508139248,2.329969203,2.299848989,2.031054985,2.312481981,2.440541565,3.051167537,2.807076536,2.588321596,2.975374269,2.809385012
Kentucky,1.506172991,1.466828879,1.591948348,1.682579138,1.704620911,1.514700659,1.548416227,1.483017833,1.897256638,1.648994184,1.82730608,1.574625292,1.887337015,1.948383676
Louisiana,1.904807845,1.703502202,1.748265472,1.846909452,1.797969051,1.551933394,1.77151511,1.59328163,1.853890705,1.749786869,1.849119249,1.755485678,1.446086134,1.872326855
Maine,2.159539915,2.235725722,2.14104877,1.800793116,1.918779693,1.617865498,2.136091976,1.802953556,1.962308825,2.006160202,2.201529184,2.120380671,2.007268345,2.055413897
Maryland,3.360307548,3.610115711,3.381691392,3.391131974,3.589642518,3.441092483,3.398434959,3.396482909,3.374314318,3.43900431,3.466992777,3.958192063,3.953322968,3.74653362
Massachusetts,3.584785944,3.506414734,3.568218159,3.61460892,3.400475308,3.531129619,3.158517764,3.261150648,3.524116425,3.97277872,3.788281269,4.006967718,4.017481047,3.977275353
Michigan,2.81069843,2.840028172,2.822311785,2.690041303,2.436448274,2.458082419,2.635996012,2.786730786,2.620566245,2.880656651,2.966616346,3.128973501,3.092098113,3.190261464
Minnesota,3.158885054,3.055820312,3.157981407,3.038490708,2.92230015,2.972724511,2.848593554,3.098296414,3.040644611,2.984235313,2.845429444,3.128183904,3.343863095,3.299130551
Mississippi,1.425230219,1.343925912,1.296767562,1.561668937,1.053761531,1.242750957,1.216768066,1.234228255,1.052223101,1.153387473,1.242733705,1.51659161,1.375742774,1.530952234
