Geography,year,MWSTEMTotalDiffpercent,GMathDi?ff,D_biepMale_Science_all
Alabama,2005,2.226147368,44,0.38
Alabama,2006,2.128832396,41,0.38
Alabama,2007,2.078342094,41,0.37
Alabama,2008,2.088188664,41,0.42
Alabama,2009,1.85638834,41,0.37
Alabama,2010,2.127920987,50,0.37
Alabama,2011,1.970595019,42,0.4
Alabama,2012,1.998474894,53,0.38
Alabama,2013,2.186491843,44,0.37
Alabama,2014,2.06042606,50,0.35
Alabama,2015,2.11566965,55,0.28
Alabama,2016,2.41692211,52,0.34
Alabama,2017,2.029321416,42,0.32
Alabama,2018,2.396586726,46,0.340466965
Alaska,2005,2.317722574,30,0.29
Alaska,2006,2.568189921,36,0.37
Alaska,2007,2.820166882,38,0.34
Alaska,2008,2.011534527,32,0.27
Alaska,2009,2.303922395,33,0.33
Alaska,2010,2.157269206,32,0.38
Alaska,2011,2.536920013,35,0.3
Alaska,2012,2.527954171,34,0.32
Alaska,2013,3.00563316,37,0.22
Alaska,2014,2.343753015,29,0.28
Alaska,2015,2.348857538,31,0.24
Alaska,2016,2.258467916,23,0.32
Alaska,2017,1.977088095,24,0.3
Alaska,2018,2.17735577,38,0.299120116
Arizona,2005,2.624261393,36,0.34
Arizona,2006,2.508125034,35,0.36
Arizona,2007,2.36290963,35,0.38
Arizona,2008,2.465236673,35,0.37
Arizona,2009,2.301472967,36,0.36
Arizona,2010,2.498636575,38,0.37
Arizona,2011,2.176295923,38,0.36
Arizona,2012,2.682544654,37,0.35
Arizona,2013,2.546771762,37,0.35
Arizona,2014,2.282601977,36,0.34
Arizona,2015,2.523672427,38,0.31
Arizona,2016,2.563923611,38,0.35
Arizona,2017,2.680650138,32,0.3
Arizona,2018,2.761608897,35,0.308253474
Arkansas,2005,1.606640733,34,0.38
Arkansas,2006,1.322267893,37,0.36
Arkansas,2007,1.35581733,40,0.39
Arkansas,2008,1.21142707,44,0.4
Arkansas,2009,1.145376708,40,0.38
Arkansas,2010,1.272773628,43,0.4
Arkansas,2011,1.359930391,40,0.39
Arkansas,2012,1.402027882,41,0.41
Arkansas,2013,1.321810366,42,0.37
Arkansas,2014,1.432473556,50,0.25
Arkansas,2015,1.502069757,42,0.35
Arkansas,2016,1.592719524,52,0.36
Arkansas,2017,1.475819005,52,0.34
Arkansas,2018,1.687926069,29,0.359917431
California,2005,2.744782737,39,0.35
California,2006,2.611405769,41,0.34
California,2007,2.56535594,38,0.39
California,2008,2.733538332,40,0.37
California,2009,2.600336358,41,0.37
California,2010,2.477746333,42,0.36
California,2011,2.57866463,38,0.35
California,2012,2.637842017,42,0.35
California,2013,2.674345311,40,0.33
California,2014,2.851907296,40,0.3
California,2015,2.987282183,39,0.31
California,2016,3.105411298,35,0.31
California,2017,3.070699053,28,0.3
California,2018,3.125598154,29,0.298864441
Colorado,2005,3.879632972,31,0.34
Colorado,2006,3.487803145,32,0.32
Colorado,2007,3.632334363,35,0.35
Colorado,2008,3.708704373,34,0.36
Colorado,2009,3.537078388,36,0.36
Colorado,2010,3.398542153,40,0.33
Colorado,2011,3.446894822,34,0.38
Colorado,2012,3.611339427,37,0.32
Colorado,2013,3.385458998,37,0.33
Colorado,2014,3.466037646,40,0.34
Colorado,2015,3.767674022,37,0.32
Colorado,2016,4.116235874,39,0.32
Colorado,2017,4.149212534,28,0.31
Colorado,2018,4.150183774,10,0.309833448
Connecticut,2005,3.149449233,32,0.33
Connecticut,2006,3.100138592,33,0.34
Connecticut,2007,3.141713845,32,0.34
Connecticut,2008,3.286852784,34,0.33
Connecticut,2009,3.102434496,32,0.35
Connecticut,2010,2.750568633,34,0.34
Connecticut,2011,2.851025285,29,0.34
Connecticut,2012,2.741454953,30,0.33
Connecticut,2013,2.954415229,29,0.35
Connecticut,2014,3.20115611,29,0.33
Connecticut,2015,2.878819735,28,0.31
Connecticut,2016,3.380846146,27,0.32
Connecticut,2017,2.943313564,8,0.29
Connecticut,2018,3.528762169,7,0.308969836
Delaware,2005,2.634486171,35,0.42
Delaware,2006,2.742767515,-40,0.3
Delaware,2007,3.053149758,26,0.4
Delaware,2008,2.313837057,39,0.35
Delaware,2009,2.748812639,38,0.32
Delaware,2010,2.165236446,36,0.44
Delaware,2011,2.170128782,33,0.27
Delaware,2012,2.663716069,21,0.28
Delaware,2013,3.260070928,22,0.33
Delaware,2014,2.528972692,18,0.27
Delaware,2015,2.551254774,18,0.27
Delaware,2016,2.492146377,14,0.29
Delaware,2017,2.921226853,13,0.31
Delaware,2018,2.129382354,6,0.301901892
District of Columbia,2005,1.708499843,58,0.33
District of Columbia,2006,1.032454526,49,0.33
District of Columbia,2007,1.926256005,57,0.3
District of Columbia,2008,2.293331021,44,0.36
District of Columbia,2009,2.173470337,43,0.32
District of Columbia,2010,3.009104272,51,0.33
District of Columbia,2011,2.038211968,45,0.34
District of Columbia,2012,2.216156337,58,0.36
District of Columbia,2013,2.558169268,41,0.36
District of Columbia,2014,3.021048279,33,0.33
District of Columbia,2015,2.473305364,26,0.32
District of Columbia,2016,4.33152623,27,0.27
District of Columbia,2017,2.459253027,13,0.34
District of Columbia,2018,2.684626339,16,0.307371983
Florida,2005,2.064959105,32,0.34
Florida,2006,1.868855152,33,0.34
Florida,2007,1.848142228,32,0.37
Florida,2008,1.935883861,34,0.38
Florida,2009,1.808419553,34,0.37
Florida,2010,1.695132971,33,0.34
Florida,2011,1.636920438,29,0.36
Florida,2012,1.890216258,32,0.32
