Geography,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,0.38,0.38,0.37,0.42,0.37,0.37,0.4,0.38,0.37,0.35,0.28,0.34,0.32,0.340466965
Alaska,0.29,0.37,0.34,0.27,0.33,0.38,0.3,0.32,0.22,0.28,0.24,0.32,0.3,0.299120116
Arizona,0.34,0.36,0.38,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.31,0.35,0.3,0.308253474
Arkansas,0.38,0.36,0.39,0.4,0.38,0.4,0.39,0.41,0.37,0.25,0.35,0.36,0.34,0.359917431
California,0.35,0.34,0.39,0.37,0.37,0.36,0.35,0.35,0.33,0.3,0.31,0.31,0.3,0.298864441
Colorado,0.34,0.32,0.35,0.36,0.36,0.33,0.38,0.32,0.33,0.34,0.32,0.32,0.31,0.309833448
Connecticut,0.33,0.34,0.34,0.33,0.35,0.34,0.34,0.33,0.35,0.33,0.31,0.32,0.29,0.308969836
Delaware,0.42,0.3,0.4,0.35,0.32,0.44,0.27,0.28,0.33,0.27,0.27,0.29,0.31,0.301901892
District of Columbia,0.33,0.33,0.3,0.36,0.32,0.33,0.34,0.36,0.36,0.33,0.32,0.27,0.34,0.307371983
Florida,0.34,0.34,0.37,0.38,0.37,0.34,0.36,0.32,0.36,0.34,0.3,0.32,0.32,0.292602116
Georgia,0.35,0.37,0.38,0.38,0.36,0.36,0.38,0.37,0.37,0.34,0.33,0.32,0.3,0.284456082
Hawaii,0.35,0.33,0.46,0.35,0.29,0.46,0.32,0.33,0.26,0.37,0.36,0.33,0.29,0.251234817
Idaho,0.39,0.44,0.41,0.49,0.34,0.42,0.47,0.45,0.41,0.33,0.28,0.35,0.32,0.343216939
Illinois,0.34,0.34,0.38,0.37,0.35,0.35,0.34,0.34,0.33,0.32,0.3,0.3,0.31,0.307294332
Indiana,0.36,0.34,0.39,0.4,0.39,0.37,0.39,0.36,0.35,0.32,0.34,0.32,0.34,0.314690625
Iowa,0.35,0.3,0.37,0.36,0.32,0.37,0.35,0.37,0.32,0.32,0.35,0.31,0.31,0.287551551
Kansas,0.34,0.36,0.36,0.36,0.41,0.38,0.36,0.37,0.34,0.36,0.34,0.31,0.35,0.354938675
Kentucky,0.39,0.36,0.38,0.36,0.38,0.34,0.37,0.36,0.31,0.36,0.33,0.34,0.3,0.314886535
Louisiana,0.36,0.38,0.42,0.3,0.39,0.41,0.37,0.31,0.36,0.31,0.34,0.34,0.31,0.285584678
Maine,0.3,0.31,0.35,0.35,0.35,0.4,0.38,0.28,0.31,0.33,0.31,0.3,0.37,0.303349802
Maryland,0.33,0.33,0.37,0.36,0.35,0.33,0.34,0.35,0.32,0.3,0.3,0.31,0.32,0.293633311
Massachusetts,0.29,0.3,0.35,0.33,0.31,0.34,0.35,0.32,0.31,0.3,0.29,0.3,0.3,0.304267642
Michigan,0.32,0.32,0.35,0.34,0.36,0.34,0.38,0.34,0.35,0.33,0.34,0.35,0.32,0.316838785
Minnesota,0.33,0.35,0.36,0.37,0.39,0.37,0.38,0.37,0.34,0.33,0.32,0.32,0.31,0.328902324
Mississippi,0.36,0.34,0.36,0.37,0.35,0.36,0.32,0.42,0.37,0.29,0.33,0.33,0.27,0.289625786
Missouri,0.33,0.36,0.38,0.33,0.39,0.34,0.38,0.36,0.38,0.33,0.31,0.33,0.33,0.287882448
Montana,0.28,0.37,0.32,0.38,0.4,0.37,0.36,0.37,0.42,0.46,0.31,0.3,0.36,0.323158598
Nebraska,0.36,0.4,0.37,0.36,0.4,0.35,0.37,0.38,0.36,0.3,0.33,0.32,0.36,0.297282127
Nevada,0.34,0.37,0.38,0.35,0.35,0.39,0.33,0.37,0.36,0.35,0.31,0.36,0.31,0.321366711
New Hampshire,0.35,0.34,0.42,0.41,0.38,0.33,0.36,0.38,0.39,0.36,0.33,0.28,0.31,0.355193459
New Jersey,0.33,0.33,0.33,0.38,0.35,0.36,0.36,0.38,0.35,0.32,0.31,0.31,0.32,0.328285362
New Mexico,0.31,0.32,0.38,0.3,0.42,0.49,0.3,0.36,0.29,0.29,0.35,0.27,0.28,0.275532429
New York,0.34,0.32,0.35,0.36,0.37,0.36,0.32,0.35,0.31,0.33,0.3,0.3,0.31,0.30719372
North Carolina,0.36,0.35,0.36,0.38,0.37,0.37,0.35,0.38,0.34,0.32,0.33,0.31,0.32,0.314720109
North Dakota,0.36,0.36,0.38,0.37,0.28,0.39,0.31,0.36,0.3,0.39,0.36,0.39,0.37,0.35261004
Ohio,0.35,0.33,0.38,0.38,0.39,0.38,0.35,0.37,0.34,0.35,0.33,0.33,0.33,0.317693119
Oklahoma,0.39,0.39,0.38,0.34,0.36,0.37,0.37,0.39,0.3,0.35,0.33,0.33,0.3,0.307110736
Oregon,0.36,0.36,0.43,0.36,0.39,0.36,0.37,0.35,0.38,0.33,0.3,0.3,0.3,0.307854866
Pennsylvania,0.33,0.33,0.34,0.34,0.36,0.36,0.35,0.36,0.33,0.32,0.3,0.31,0.31,0.306780953
Puerto Rico,0.39,0.37,0.43,0.32,0.25,0.56,0.34,0.33,0.41,0.51,0.25,0.31,0.37,0.251051308
Rhode Island,0.32,0.27,0.26,0.34,0.3,0.33,0.29,0.38,0.23,0.27,0.29,0.32,0.33,0.321052126
South Carolina,0.36,0.36,0.37,0.38,0.37,0.36,0.32,0.38,0.36,0.31,0.29,0.33,0.31,0.320554625
South Dakota,0.27,0.38,0.34,0.36,0.45,0.31,0.37,0.32,0.31,0.38,0.36,0.28,0.33,0.335961589
Tennessee,0.38,0.36,0.39,0.39,0.4,0.37,0.35,0.34,0.36,0.36,0.31,0.33,0.35,0.301728081
Texas,0.35,0.34,0.37,0.37,0.37,0.37,0.33,0.33,0.35,0.31,0.31,0.3,0.31,0.29440157
Utah,0.4,0.39,0.45,0.33,0.4,0.47,0.41,0.43,0.38,0.36,0.37,0.36,0.39,0.368147358
Vermont,0.27,0.4,0.43,0.32,0.32,0.4,0.32,0.3,0.32,0.28,0.39,0.31,0.29,0.310652157
Virginia,0.33,0.35,0.36,0.36,0.35,0.36,0.33,0.37,0.35,0.32,0.31,0.31,0.31,0.305230095
Washington,0.33,0.34,0.39,0.35,0.35,0.35,0.34,0.37,0.35,0.3,0.31,0.3,0.3,0.295620064
West Virginia,0.34,0.34,0.34,0.32,0.35,0.39,0.36,0.38,0.37,0.32,0.33,0.31,0.32,0.352019334
Wisconsin,0.36,0.33,0.37,0.37,0.37,0.35,0.33,0.34,0.36,0.3,0.34,0.34,0.31,0.317469116
Wyoming,0.36,0.29,0.54,0.45,0.34,0.3,0.44,0.36,0.34,0.35,0.41,0.3,0.34,0.30663249
 ,,,,,,,,,,,,,,
