Geography,TMaleCandM_mean,TMaleAandEng_mean,TMaleLPSS_mean,TFemaleCandM_mean,TFemaleAandEng_mean,TFemaleLPSS_mean,TTotalEstimateTotalpopulation_mean,TMaleEstimateTotalpopulation_mean,TFemaleEstimateTotalpopulation_mean,TMeninSTEMMajors_mean,TWomeninSTEMMajors_mean,TMeninotherMajors_mean,TWomeninotherMajors_mean,TPercentBelowPovertyLevel_mean,FemaleAverageScore_mean,FemaleVerbalMean_mean,MathMean_Female_mean,MaleAverageScore_mean,MaleVerbalMean_mean,MathMean_Male_mean,D_biepMale_Science_all_mean,larts_7_mean,lscience_7_mean,ran9thboys_mean,ran9thgirls_mean,TGMathDi‎ff_mean,TPercentlessthanHS_mean
Alabama,4.442643699,4.543612909,3.847940263,4.064916408,3.78456528,3.664143492,6.677306163,6.362400566,6.389721395,5.214112623,5.139440264,5.286400678,5.429818619,1.247457497,1142.5,551.6428571,530.7857143,1197.5,560.9642857,576.6428571,0.362176212,3.270311411,4.942451344,5.468044528,5.163543409,1.658991365,1.219653248
Alaska,3.605566507,3.816530562,3.496789029,3.132523253,3.118260122,3.266761945,5.852489094,5.568675821,5.533485779,4.526613466,4.477259674,4.445465468,4.597185024,1.003187504,1078,509.1785714,499.2857143,1112.5,506.3571429,531.5714286,0.304222865,3.377232767,4.813546454,4.814466501,4.495260546,1.504375164,0.914218159
Arizona,4.741513532,4.707659364,4.028496384,4.272189313,3.907538234,3.942513423,6.817958229,6.515449935,6.518396261,5.471846826,5.349230847,5.498040974,5.58757569,1.209793036,1116,520.2142857,514.9285714,1153.5,519.7142857,551.0714286,0.34630382,3.348736512,4.964959851,4.977700573,4.662125273,1.557561964,1.162719545
Arkansas,4.147955134,4.067934798,3.638352548,3.761284468,3.291090415,3.444849692,6.464461156,6.1552564,6.171449727,4.94685987,4.871133278,5.029631639,5.166046975,1.259810809,1165.5,566.6785714,551,1217.5,571.8928571,592.8571429,0.367136959,3.433129328,4.882795497,4.99621403,4.752358473,1.616817062,1.205212312
California,5.589089382,5.496129326,4.970909829,5.107853652,4.794141878,4.949529419,7.577661946,7.274810022,7.278441956,6.335320983,6.243399172,6.251224627,6.367375341,1.162224351,1051,501.1428571,498.3571429,1083,504.9285714,536.3571429,0.337776032,3.341169498,4.98655196,5.086928391,4.757090143,1.576683339,1.267852396
Colorado,4.870216396,4.730547326,4.206063879,4.383681968,4.032790894,4.116394832,6.712869846,6.414129085,6.409536704,5.547169902,5.456564085,5.510013848,5.608736136,1.075404482,1106.5,566.0357143,556.4285714,1120.5,562.0357143,590,0.334988103,3.4233749,4.938,5.147348477,4.739552288,1.507627703,0.992093525
Connecticut,4.566645528,4.517938199,4.003920058,4.143941896,3.733252713,3.957655972,6.550090468,6.237803923,6.260031332,5.33870978,5.291786652,5.343717726,5.455922875,0.987360943,1050.5,514.8571429,498.7857143,1044.5,509.75,526.2142857,0.329212131,3.364530513,4.923090359,5.408217553,5.037946459,1.399139056,1.026605414
Delaware,3.926997668,3.766328948,3.539629017,3.506918162,3.008685862,3.406102627,5.957442925,5.642652941,5.669749779,4.648207988,4.609800502,4.654190887,4.779222069,1.066140554,998,481.0357143,473.2142857,995.5,475.4285714,493.1428571,0.325135849,3.371373289,4.923390313,5.436923077,5.112980769,1.339855051,1.07562092
District of Columbia,3.99097756,3.524015864,3.752626596,3.808444663,3.015680654,3.742988682,5.796253056,5.471005322,5.51815429,4.817152999,4.795716033,4.722726575,4.824466103,1.254502231,957,459.8214286,440,970,473.2857143,480.0714286,0.328383713,3.476213509,4.94359116,5.336500754,4.98029304,1.564737785,1.068218989
Florida,5.112894302,5.011803165,4.39533334,4.659325924,4.234786095,4.360362041,7.28517092,6.974716136,6.993362804,5.939994486,5.858735187,6.003089569,6.091671035,1.168276561,1015,492.4285714,479.1428571,1017.5,486.8928571,506.7857143,0.33947158,3.370845461,4.916344136,5.092881776,4.839525821,1.416694771,1.134226795
