Geography,year,TPercentlessthanHS,ZTPercentlessthanHS,ZTMaleCandM,ZTMaleAandEng,ZTMaleLPSS,ZTFemaleCandM,ZTFemaleAandEng,ZTFemaleLPSS,ZTTotalEstimateTotalpopulation,ZTMaleEstimateTotalpopulation,ZTFemaleEstimateTotalpopulation,ZTMeninSTEMMajors,ZTWomeninSTEMMajors,ZTMeninothermajors,ZTwomeninothermajors,ZTPercentBelowPovertyLevel,ZTotalAverageScore,ZTotalVerbalMean,ZMathMean,ZFemaleAverageScore,ZFemaleVerbalMean,ZMathMean_Female,ZMaleAverageScore,ZMaleVerbalmean,ZMathMean_Male,ZD_biepMale_Science_all,Zlarts_7,Zlscience_7,Zran9thboys,Zran9thgirls,time
Alabama,2005,1.29507454,1.300025817,-1.216836047,-0.164453358,1.095937332,-0.825069891,-1.37687756,0.750734385,-2.427759541,-2.498788424,-2.353546545, , , , ,-0.596943333, ,0.581905741,0.632248525, ,0.482349908,0.501115035, ,0.660954456,0.445333914,0.514277354, , , , ,1
Alabama,2006,1.298273159,1.355159959,-1.13992286,1.023731815,0.590866255,-0.504266301,-0.013721018,0.744631351,-1.197793935,-1.112575405,-1.27999461, , , , ,-0.959871519, ,0.478783204,0.786187296, ,0.585447599,0.778960995, ,0.280679289,0.528462911,0.514277354,-1.271432688,1.655950027,2.189291996,-1.866948539,2
Alabama,2007,1.292499684,1.25564341,-0.852789832,-0.360463159,0.613006844,-1.249176352,1.322065384,-0.646796438,-0.975814253,-0.993455743,-0.956588418, , , , ,-0.686868454, ,0.143634961,0.401340368, ,0.173056837,0.501115035, ,0.027162512,0.195946922,0.225743094,0.90332875,0.309862185,-0.629673582,-1.370017378,3
Alabama,2008,1.257933119,0.659824566,-0.647704848,0.168714393,-0.5340312,-1.561735383,0.46160015,0.876363054,-0.715342929,-0.676372965,-0.752572572, , , , ,-1.809505524, ,0.195196229,0.478309753, ,0.30192895,0.570576525, ,0.027162512,0.27907592,1.668414394,0.087793211,0.848297322,-0.065880466,-0.17738259,4
Alabama,2009,1.252700564,0.569631782,-1.143815356,-1.065405847,-0.566541773,0.7084862,-1.216464176,0.542383776,-0.360354978,-0.343513384,-0.376313638,-0.927001625,-1.172553344,-1.633730773,-1.450811512,-0.155107652, ,-0.139952014,0.093462825, ,0.069959147,0.223269075, ,-0.353112654,-0.136569067,0.225743094,-0.546512209,0.52523624,-0.91157014,-1.038729937,5
Alabama,2010,1.252057053,0.55853967,-0.0936446,0.291412573,-1.035384161,-0.506346491,0.57100752,-2.662115061,0.212955231,0.279105822,0.147018559,-1.515195095,-1.179169869,-0.960978612,-1.341513247,1.098387128, ,-0.294635818,-0.060475946, ,-0.316657192,-0.193499865, ,-0.251705943,0.112817925,0.225743094,-0.546512209,0.52523624,0.35696437,-0.707442496,6
Alabama,2011,1.237529666,0.308133219,-0.264404858,-1.570848929,-1.517084378,0.023143741,-1.989558809,-0.247455052,0.342233253,0.311387396,0.372195618,-1.107945511,-0.885355572,-0.785942057,-0.928854026,1.098387128, ,-0.758687232,-0.753200416, ,-0.60017584,-0.610268805, ,-0.936201242,-1.050988037,1.091345874,-0.002821849,0.256018672,0.145541952,0.584578524,7
Alabama,2012,1.204891944,-0.254438438,0.966076382,-2.051741123,-1.085112885,0.011499572,0.848387371,0.630030379,0.484611232,0.487555877,0.480879144,-0.719973351,-0.498874547,0.202915199,-0.281026141,1.098387128, ,-1.196958011,-1.522894272, ,-1.244536405,-1.582729666, ,-1.113662987,-1.300375029,0.514277354,-1.090202568,0.471392726,1.273128183,0.650836013,8
Alabama,2013,1.189204172,-0.52484628,-0.169678552,0.848937154,0.027070395,-0.594237535,-0.350459331,-0.613422496,0.570714741,0.569977111,0.570473198,0.648819297,-0.433836506,-0.490475203,0.057819127,0.855799561, ,-0.964932304,-1.291986115, ,-0.961017756,-1.096499236, ,-0.936201242,-1.466633024,0.225743094,-1.724507987,-0.120885924,0.826791967,0.584578524,9
Alabama,2014,1.184232565,-0.610541143,0.284645678,-0.311136476,-0.4829577,0.537176423,-0.007427098,-0.559186839,0.685608586,0.65988705,0.709892282,0.304920418,-0.006409723,-0.281596351,0.099724823,1.337174211, ,-0.836029134,-0.984108573, ,-0.909468911,-1.027037745, ,-0.733387821,-0.884730043,-0.351325426,-0.002821849,-0.120885924,-0.183337366,0.087647363,10
Alabama,2015,1.180081342,-0.68209517,0.297050908,0.32094239,-0.331993976,0.455227102,0.119587039,-0.824170236,0.755895397,0.73107408,0.779162403,0.333194857,0.452928319,0.371121438,0.606851228,0.691902673, ,-0.861809768,-0.984108573, ,-0.935243334,-1.165960726, ,-0.708036143,-0.635343051,-2.371065245,0.63148357,0.202175158,0.075067812,0.352677316,11
Alabama,2016,1.173087145,-0.802653128,1.345021551,1.222535408,1.257915572,0.25420433,-0.057982614,0.376324286,0.787479889,0.77866593,0.794843011,0.474903364,0.899189339,1.115133511,0.654113203,-0.507545636, ,-0.294635818,0.01649344, ,-0.49707815,-0.054576885, ,-0.023540844,0.445333914,-0.639859685,1.356404049,-0.874695115,-0.91157014,0.352677316,12
Alabama,2017,1.130475715,-1.537140137,0.520684827,0.604077888,-0.029046224,0.881177574,1.583441512,0.733631058,0.871016663,0.835010223,0.905142963,1.027507413,1.333661291,1.312093783,1.234497721,-0.686868454,-0.707106781,1.922498713,1.632850537,0.707106781,1.925717573,1.612498876,-0.707106781,1.928538343,1.609139876,-1.216928205,1.356404049,-1.790034848,-1.475363256,0.816479733,13
Alabama,2018,1.127104798,-1.595244128,2.115317608,1.04369727,1.997355897,2.369917011,0.106401629,0.899047831,0.966550644,0.972042433,0.959408606,1.480770233,1.490420613,1.151459065,1.349198823,-0.777327257,0.707106781,2.02562125,1.555881152,-0.707106781,1.925717573,1.543037386,0.707106781,2.131351765,1.858526868,-0.626386145,0.849397729,-1.88766676,-0.689391331,1.731046151,14
Alaska,2005,0.952360946,0.71821972,-0.941499275,0.05622871,-1.664670691,-1.441932738,1.807417767,-0.243014007,-2.291689361,-2.406705551,-2.057911304, , , , ,1.128967409, ,0.658558233,-0.043747392, ,0.557038835,0.398665173, ,0.790239422,0.211463373,-0.319566123, , , , ,1
Alaska,2006,1.012107309,1.843229698,-1.236199278,0.364847631,0.149287447,0.668216093,-0.927550493,-1.149860833,-1.339245359,-1.342648087,-1.292554265, , , , ,0.839762604, ,-0.133597732,-0.097005087, ,-0.267580589,0.119599552, ,-0.114943916,0.334817007,1.477912026,1.266959679,0.084299006,1.263461815,0.701339374,2
Alaska,2007,0.97840898,1.208698078,0.138020688,0.523234184,-1.058008459,-0.09886461,-1.954579034,-1.96756379,-0.901863245,-0.675018647,-1.219258464, , , , ,-1.319464199, ,-0.133597732,-0.097005087, ,-0.267580589,0.119599552, ,-0.05459836,0.458170641,0.80385772,-0.365950156,0.647879065,-0.678554544,-1.738186346,3
Alaska,2008,0.92263736,0.158531593,-1.339612735,0.851996413,0.698518117,1.121868511,0.138542806,1.594710263,-0.811241644,-0.660412455,-1.014265991, , , , ,-1.93534223, ,-0.067584735,-0.017118545, ,0.132948846,0.398665173, ,-0.235635028,0.334817007,-0.76893566,-0.039368189,-0.223108299,0.767168745,0.448181044,4
Alaska,2009,0.934389425,0.3798202,-1.45176161,-0.164778109,0.251942226,-0.333403398,-0.886571714,-0.080160377,-0.423374684,-0.497379455,-0.295324689,-1.16823835,-1.724187537,-1.654889965,-0.980711394,-1.2004493, ,-0.089589068,-0.123633934, ,0.015146071,0.119599552, ,-0.175289472,0.149786556,0.579172952,-0.202659173,0.545409964,1.457663451,0.770382554,5
Alaska,2010,0.952354272,0.718094057,0.055614495,-2.366564722,0.271618769,-0.720531854,0.007637991,-0.543397819,0.060920782,0.102362884,-0.001996762,0.699574371,-0.64513498,-0.511483741,-0.988859068,-0.185231702, ,-0.155602065,-0.150262782, ,-0.008414484,0.119599552, ,-0.275865398,0.088109739,1.702596794,-0.2570895,0.95528637,-1.002223937,-2.106416643,6
Alaska,2011,0.915645298,0.026872699,-0.989878495,-0.077567142,1.343186491,-0.153423182,-1.076044064,-0.09197079,0.328962566,0.126463098,0.630002521,-1.5473458,-0.219617166,-0.680374882,-1.538441922,0.441520983, ,-0.309632391,-0.256778171, ,-0.338262253,-0.29899888, ,-0.295980584,-0.096920713,-0.094881354,-1.073544418,0.391706311,0.55138915,0.218037108,7
Alaska,2012,0.90330587,-0.205475829,0.514071747,0.897450027,-0.099842441,0.096752461,0.706605117,0.033929836,0.593724541,0.532371519,0.671815633,-0.622757488,-0.320027004,-0.186021662,0.788940611,0.027809852, ,-0.419654053,-0.363293561, ,-0.408943918,-0.43853169, ,-0.416671695,-0.281951164,0.354488183,-0.52924114,-0.120639197,0.400343433,0.448181044,8
