ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
5291,3,1,0,-1.29124,-0.66868,-0.85546,1.96934,-0.35249,,-1.08097,-0.1282,,,,,,,,,,,,,0.77433
5320,3,1,0,1.96558,1.58715,-0.42765,1.07489,-0.57547,,0.86901,0.05054,,,,,,,,,,,,,-1.50694
5330,3,1,0,-1.07036,-0.6689,-1.28147,-0.35622,-0.42682,,1.35651,-1.17957,,,,,,,,,,,,,0.20401
5372,3,1,0,-0.55981,-1.44476,-0.83245,,0.85026,,,-0.74631,,,,,,,,,,,,,-1.50694
5406,3,1,0,-0.54297,0.4266,-0.04234,-1.42956,1.45163,,0.38152,-0.54893,,,,,,,,,,,,,1.91496
5436,3,1,0,-0.28866,-0.46176,0.35612,0.71711,1.07324,,-0.59347,-0.07405,,,,,,,,,,,,,0.5462
5439,3,1,0,0.31811,-0.33739,0.61481,0.00156,-0.04843,,-1.08097,-0.83365,,,,,,,,,,,,,0.77433
5455,3,1,0,-0.90327,-1.46208,-0.20268,2.14823,-0.6498,,0.86901,-0.34723,,,,,,,,,,,,,0.20401
5488,3,1,0,-0.03588,-0.12297,-1.23553,-1.07178,1.3773,,-1.08097,-1.27874,,,,,,,,,,,,,-0.65146
5490,3,1,0,0.209,0.32481,-0.10207,1.07489,-0.6498,,-0.59347,-3.29654,,,,,,,,,,,,,-0.82256
5506,3,1,0,-0.3142,-1.22545,-0.78706,0.35933,1.07324,,-0.59347,-0.68413,,,,,,,,,,,,,1.34465
5518,3,1,0,0.73964,0.44595,-0.33408,0.53822,0.10023,,0.86901,-0.31549,,,,,,,,,,,,,1.91496
5530,3,1,0,-0.98129,-1.09852,-0.82333,0.53822,-0.12501,,,0.31279,,,,,,,,,,,,,0.77433
5559,3,1,0,0.14986,-1.36778,-1.39876,0.00156,-0.04843,,-0.10598,2.14167,,,,,,,,,,,,,0.93728
5560,3,1,0,-1.18429,,1.25693,0.18045,0.10023,,-0.10598,0.81861,,,,,,,,,,,,,1.91496
5567,3,1,0,-0.01043,-1.08891,-0.94382,0.00156,-0.35249,,-0.10598,-0.48503,,,,,,,,,,,,,-0.04041
5581,3,1,0,-1.58517,-1.63253,-0.21387,0.35933,0.62727,,-0.59347,-0.07405,,,,,,,,,,,,,0.5462
5626,3,1,0,-0.25495,-0.73085,-0.82894,-0.35622,-0.04843,,-0.59347,,,,,,,,,,,,,,-0.13818
5628,3,1,0,-0.10274,0.87881,-0.48868,1.43267,0.0259,,0.38152,-0.9624,,,,,,,,,,,,,-0.82256
5636,3,1,0,-0.55981,-1.44476,-0.83245,-0.35622,1.3773,,-1.08097,-1.06244,,,,,,,,,,,,,-0.13818
5673,3,1,0,-0.162,0.79515,0.52845,1.79045,-0.57547,,-0.59347,-1.4591,,,,,,,,,,,,,-0.93662
5685,3,1,0,-0.04939,-0.58582,1.4512,0.18045,-0.12501,,,-0.09519,,,,,,,,,,,,,0.93728
5743,3,1,0,0.44034,1.16973,-0.117,-0.89289,1.30298,,-1.08097,0.80321,,,,,,,,,,,,,0.5462
5754,3,1,0,-0.20543,-0.36736,-0.54772,1.43267,0.99891,,-1.08097,-1.16129,,,,,,,,,,,,,1.23058
5794,3,1,0,-1.48745,0.76136,-0.92506,0.35933,1.3773,,-0.59347,1.50504,,,,,,,,,,,,,-0.52925
5797,3,1,0,-0.25495,-0.73085,-0.82894,0.18045,0.77593,,-1.08097,-0.7435,,,,,,,,,,,,,0.20401
5812,3,1,0,0.95846,0.55956,0.00562,0.18045,-0.72413,,-1.08097,0.47402,,,,,,,,,,,,,1.34465
5832,3,1,0,0.34061,0.63066,1.50245,-0.17733,-0.19708,,0.86901,1.22997,,,,,,,,,,,,,-0.65146
5847,3,1,0,0.77357,1.38455,0.85912,-0.17733,-0.57547,,-0.59347,-0.95919,,,,,,,,,,,,,0.20401
5877,3,1,0,1.22336,1.53831,1.30234,0.71711,-1.10252,,-1.08097,0.18516,,,,,,,,,,,,,0.44843
5891,3,1,0,0.67939,-0.37613,-0.19801,1.25378,-0.04843,,-0.59347,-2.97697,,,,,,,,,,,,,-1.50694
5960,3,1,0,0.209,0.32481,-0.10207,3.22156,-0.57547,,-1.08097,-2.16629,,,,,,,,,,,,,0.20401
5984,3,1,0,,,,0.35933,0.47862,,-0.10598,0.72887,,,,,,,,,,,,,1.91496
5991,3,1,0,-0.44195,-1.76204,0.88788,0.53822,0.92458,,-1.08097,2.39066,,,,,,,,,,,,,0.20401
