ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
5290,1,0,0,0.22278,0.17859,-0.4867,-0.35622,1.07324,,0.86901,-0.31469,,,,,,,,,,,,,0.44843
5307,1,0,0,0.87324,0.32391,-1.51939,0.896,-1.92688,,-1.08097,0.74537,,,,,,,,,,,,,-0.93662
5346,1,0,0,0.56759,0.17519,-0.64317,0.18045,0.0259,,0.86901,1.16422,,,,,,,,,,,,,1.91496
5354,1,0,0,0.209,0.32481,-0.10207,-1.42956,1.45163,,1.35651,0.55489,,,,,,,,,,,,,0.20401
5356,1,0,0,1.62501,-0.51959,-0.39992,,0.10023,,,-0.9191,,,,,,,,,,,,,-1.50694
5360,1,0,0,0.77993,-1.32568,-0.64462,-0.89289,1.45163,,1.35651,-0.96707,,,,,,,,,,,,,-0.74651
5361,1,0,0,2.15256,1.38551,0.14995,1.96934,0.10023,,0.86901,-1.22796,,,,,,,,,,,,,-0.3663
5377,1,0,0,-0.25495,-0.73085,-0.82894,0.71711,0.32321,,1.84401,1.56504,,,,,,,,,,,,,-0.3663
5401,1,0,0,0.95059,-0.40348,-0.9556,0.00156,-0.42682,,0.38152,-0.6078,,,,,,,,,,,,,-0.82256
5412,1,0,0,-1.53325,,-1.15336,-0.89289,1.45163,,0.38152,1.52761,,,,,,,,,,,,,1.91496
5431,1,0,0,0.209,0.32481,-0.10207,-0.89289,1.22865,,-1.08097,-0.5686,,,,,,,,,,,,,0.5462
5432,1,0,0,1.72975,0.59048,-0.12613,,-0.19708,,,1.74011,,,,,,,,,,,,,-1.50694
5441,1,0,0,-0.6595,-1.68148,-0.04458,3.40045,-1.25118,,-0.10598,-0.66371,,,,,,,,,,,,,-0.3663
5452,1,0,0,-0.67721,-0.01895,0.07216,2.50601,-0.72413,,0.38152,0.23991,,,,,,,,,,,,,-0.3663
5460,1,0,0,-0.00853,1.26177,-0.33536,0.896,0.17455,,-1.08097,0.1434,,,,,,,,,,,,,-0.88477
5464,1,0,0,-0.48669,-1.53825,-0.6602,0.18045,-1.25118,,0.38152,-0.00891,,,,,,,,,,,,,0.77433
5502,1,0,0,-0.25495,-0.73085,-0.82894,0.35933,-0.04843,,0.86901,1.41133,,,,,,,,,,,,,-1.50694
5524,1,0,0,0.75156,0.53831,1.72709,,,,,,,,,,,,,,,,,,-1.50694
5529,1,0,0,0.34061,0.63066,1.50245,,,,,,,,,,,,,,,,,,-1.50694
5532,1,0,0,-1.63277,1.02031,-1.30356,,0.0259,,,1.05258,,,,,,,,,,,,,-1.50694
5533,1,0,0,-1.87644,-1.00648,-0.9038,2.14823,-1.92688,,,0.09924,,,,,,,,,,,,,-0.93662
5555,1,0,0,2.07717,-1.1639,1.31288,,,,,,,,,,,,,,,,,,-1.50694
5557,1,0,0,-0.09402,-0.715,-0.68023,0.53822,-0.27817,,-0.59347,0.44376,,,,,,,,,,,,,0.20401
5564,1,0,0,1.24548,0.52807,-0.44159,1.43267,-1.77822,,0.38152,1.74121,,,,,,,,,,,,,0.77433
5580,1,0,0,-0.2521,-0.22494,0.51335,-0.35622,-0.80071,,,0.02087,,,,,,,,,,,,,-0.3663
5588,1,0,0,0.15304,1.7883,-1.24501,2.32712,-0.6498,,0.86901,-0.8731,,,,,,,,,,,,,-0.13818
5604,1,0,0,-0.04634,0.74047,-0.70716,-0.17733,0.10023,,-1.08097,-0.06748,,,,,,,,,,,,,0.77433
5606,1,0,0,-0.7701,-0.78147,-0.73681,0.896,-1.25118,,-0.59347,-0.00319,,,,,,,,,,,,,0.77433
5616,1,0,0,-0.80743,-1.22702,-0.02584,0.896,-0.12275,,-1.08097,-0.15238,,,,,,,,,,,,,1.23058
