Subject	Condition	Gender	ZSTEM	ZNonSTEM	Zevap2	Zmathdevalue	ZSAQ1	ZMATHIDcomp	ZTone_pos	ZRAT_PercentCorrect	ZNback_Correct	Zcoratmpt	ZEngpercentDiff	ZCMpercentDiff																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
10123	2	1							0.861624481																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
10203	2	2			-0.305507978	-1.177244226	0.473472375	0.661806051	-1.921120207	0.397668557	1.013395798	-0.724055901																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40193	1	2			1.538184767	0.917541714	1.566682894	-0.387808738	-0.310162353	-0.979725047	-1.205729225	-1.711438488																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20155	2	1				1.723228614		-1.074095331		3.15245577		-0.504637548																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
678	1	2			-0.305507978	1.562091234	-0.073132884	-0.508918137	0.58212614	-0.520593846		-0.26327736																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20137	1	1			0.616338395	0.272992194	-1.712948661	-0.22632954	-1.222658975	3.15245577	-1.205729225	1.003863627																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40108	1	2			0.616338395	0.917541714	-0.619738143	-0.024480542	-0.423441722	-0.979725047	1.568177054	-1.711438488																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
13513	2	1		2.078261478	-0.305507978	0.272992194	-0.619738143	-0.22632954	0.861624481	-0.979725047	-2.037901109	0.460803204																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
6592	1	2	-0.371692194	-0.342552978	0.616338395	0.111854814	0.473472375	-0.105220141	0.861624481	0.397668557	1.013395798	1.104430372																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10163	2	1	-0.304588336	-0.142583774	-0.305507978	-0.210419946	-2.25955392	-0.064850342	0.861624481	1.315930964	-0.650947969	-0.806337783																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10176	1	1	-0.279872912	-0.269173783	-0.305507978	-0.049282566	-0.619738143	-0.18595974	-0.447919173	-0.520593846	-0.928338597	-0.987357924																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
10327	1	2	0.924264563	0.470821018	-1.227354351	2.045503374	0.473472375	-1.19520473	-1.879280843	-0.979725047	-0.373557341	-0.987357924																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20101	2	1	-0.46632689	-0.446752088	0.616338395	0.434129574	-0.619738143	-0.387808738	-1.222658975	0.856799759	-0.096166713	0.098762922																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20131	2	1	0.000429634	-0.186223777	0.616338395	0.272992194	1.566682894	-0.105220141	-1.927666503	-0.520593846	0.181223915	1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20141	2	1	-0.447255645	-0.347680394	1.538184767	0.272992194	-0.073132884	-0.347438939	-1.222658975	0.397668557	-1.205729225	0.357363123																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
22093	1	1	0.985883053	0.444864902	1.538184767	-0.049282566	-1.712948661	-0.145589941	-1.222658975	-0.979725047		-0.745997736																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
23629	2	1	-0.316349617	0.051193335	-0.305507978	0.595266954	-0.619738143	-0.387808738	-1.222658975	-0.979725047	-1.483119853	-0.987357924																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30058	2	2	1.881765319	0.684684835	1.538184767	-1.177244226	0.473472375	0.258108055	0.348167243	1.315930964	0.458614543	-0.806337783																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30129	2	2	-0.125268648	-0.081178758	-1.227354351	1.723228614	0.473472375	-0.589657736	0.861624481	-0.979725047	-0.928338597	-1.409738253																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30287	2	2	0.298658771	0.276960048	1.538184767	-1.177244226	1.020077634	0.540696652	-1.222658975	1.775062166	0.73600517	1.908964332																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30297	2	2	-0.147426976	0.173948675	-1.227354351	1.400953854	0.473472375	-0.952985932	0.861624481	-0.979725047	-0.650947969	0.921581745																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30315	2	2	-0.12402859	-0.114951334	1.538184767	-0.532694706	0.473472375	0.459957053	0.548540799	2.234193367	-0.373557341	-0.806337783																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40162	1	1	-0.384779914	-0.325074188	1.538184767	-0.693832086	1.566682894	0.459957053	-1.222658975	-0.520593846	-0.928338597	0.460803204																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40214	1	2	-0.327541904	-0.304040391	-1.227354351	-0.854969466	0.473472375	0.217738255	0.412491709	0.856799759	-0.650947969	-0.504637548																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
40133	1	2	-0.307676107	-0.275610353	1.538184767	-0.210419946	-0.073132884	0.136998656	-1.222658975	0.397668557	-0.096166713	-0.04048334																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
30306	2	2	-0.705063167	-0.540243331	0.616338395	-0.693832086	0.473472375	0.500326852	-1.896642756	-0.979725047	0.73600517	1.456413979																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20139	2	1	0.408983166	0.349592509	1.538184767	-0.854969466	0.473472375	0.70217585	0.500439761	-0.520593846	0.181223915	1.003863627																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
20117	2	1	-0.135133908	0.023316603	1.538184767	-0.693832086	1.566682894	0.782915449	0.861624481	-0.979725047	-0.096166713	0.098762922																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
7126	1	1	0.067675544	-0.010084795	1.538184767	-1.821793746	-0.619738143	0.581066451	0.861624481	-0.520593846	-2.037901109	0.702163392																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
