Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
20137,1,1,,,0.61634,0.27299,-1.71295,-0.22633,-1.22266,3.15246,-1.20573,1.00386,,
10176,1,1,-0.27987,-0.26917,-0.30551,-0.04928,-0.61974,-0.18596,-0.44792,-0.52059,-0.92834,-0.98736,,
22093,1,1,0.98588,0.44486,1.53818,-0.04928,-1.71295,-0.14559,-1.22266,-0.97973,,-0.746,,
40162,1,1,-0.38478,-0.32507,1.53818,-0.69383,1.56668,0.45996,-1.22266,-0.52059,-0.92834,0.4608,,
7126,1,1,0.06768,-0.01008,1.53818,-1.82179,-0.61974,0.58107,0.86162,-0.52059,-2.0379,0.70216,,
40209,1,1,0.02073,-0.02915,1.53818,0.27299,0.47347,0.05626,0.29267,2.69332,-0.37356,1.00386,,
7174,1,1,-0.551,-0.48812,-1.22735,0.27299,-0.61974,-0.06485,0.82121,-0.97973,-1.76051,1.90896,,
11638,1,1,-0.48415,-0.37946,-1.22735,1.23982,1.02008,-0.58966,-1.22266,1.31593,-1.20573,0.09876,,
8587,1,1,-0.11729,-0.0092,1.53818,0.11185,0.47347,0.25811,0.65613,-0.97973,0.45861,-0.50464,,
40178,1,1,-0.58385,-0.47268,0.61634,0.59527,0.47347,-0.14559,-1.75433,-0.06146,0.73601,-0.80634,,
22096,1,1,1.79509,0.88617,1.53818,0.27299,-0.61974,-0.06485,0.86162,-0.97973,,-0.746,,
13936,1,1,3.07168,2.53208,0.61634,-0.69383,-0.07313,0.09663,0.28669,-0.97973,-0.37356,1.90896,,
20317,1,1,0.48828,1.77903,0.61634,1.72323,-2.80616,0.137,-1.92767,-0.97973,1.56818,-0.50464,,
23428,1,1,-0.18846,-0.17344,1.53818,-0.37156,0.47347,0.21774,0.73013,-0.06146,-0.37356,,1.87323,
7294,1,1,-0.52776,-0.44111,-0.30551,-0.53269,0.47347,0.29848,-1.22266,0.39767,-0.09617,0.09876,1.58763,
7252,1,1,,,1.53818,-0.53269,-2.25955,0.137,0.82121,-0.97973,-0.09617,1.90896,0.40223,0.10789
8335,1,1,,,-0.30551,0.59527,0.47347,-0.14559,0.39399,-0.97973,1.0134,0.35736,-1.85938,-0.37995
7282,1,1,,,-1.22735,-0.85497,-1.16634,-0.02448,0.86162,0.39767,0.18122,1.10443,0.10786,0.03727
890,1,1,,,-0.30551,0.27299,0.47347,-0.50892,0.86162,-0.06146,,0.09876,-0.23016,-0.2225
12178,1,1,,,-1.22735,1.07868,-0.07313,-0.30707,-1.86818,-0.06146,1.29079,0.55131,1.15124,0.15183
40110,1,1,,,1.53818,-0.37156,0.47347,0.137,0.41249,-0.52059,1.0134,-0.15984,-0.3278,1.34214
9766,1,1,,,-1.22735,1.07868,-0.07313,-0.79151,-1.22266,-0.97973,0.18122,-0.746,-1.60758,-0.82571
6637,1,1,,,0.61634,0.27299,-1.16634,-0.22633,0.86162,-0.97973,-0.65095,-0.80634,-1.17253,-0.75356
10828,1,1,,,-1.22735,0.43413,0.47347,-0.42818,-0.20428,3.15246,,0.70216,-0.05054,-0.31885
20083,1,1,,,-0.30551,0.27299,-1.71295,-0.30707,-1.81524,1.31593,-0.37356,-0.50464,1.62049,1.76872
20084,1,1,,,1.53818,-1.82179,1.56668,0.86366,-1.75433,3.15246,1.84557,0.09876,-2.16799,-0.75718
11656,1,1,,,-0.30551,0.43413,1.56668,-0.06485,0.86162,0.8568,-1.76051,-1.19424,0.5476,-0.59224
40065,1,1,,,-0.30551,1.07868,0.47347,-0.14559,0.02484,1.31593,-1.76051,0.87456,-0.32974,-0.4074
7381,1,1,,,-1.22735,-0.21042,-0.61974,-0.14559,0.69142,-0.97973,-1.20573,-0.26328,0.19582,1.10957
100722,1,1,,,0.61634,0.27299,-0.61974,0.01589,,3.15246,0.18122,-0.50464,0.19582,1.10957
30137,1,1,,,1.53818,-0.21042,-1.16634,0.62144,0.86162,-0.97973,-1.20573,-1.22872,0.45722,-1.19539
4132,1,1,,,-1.22735,0.59527,-2.80616,-0.46855,0.86162,-0.06146,-0.37356,-0.50464,-1.5905,-1.5063
73752,1,1,,,0.61634,0.11185,1.56668,-0.18596,,0.8568,-0.09617,-1.10804,0.07789,-0.1983
6976,1,1,,,-0.30551,-0.04928,0.47347,-0.46855,0.86162,-0.52059,0.18122,-0.67704,-1.13873,-0.81305
5416,1,1,,,-1.22735,-0.37156,0.47347,-0.75114,0.86162,-0.97973,,-1.71144,-1.52874,-1.79623
13624,1,1,,,0.61634,0.27299,-1.71295,0.05626,0.02484,-0.97973,,-0.80634,-1.07795,-0.50066
10384,1,1,,0.08435,0.61634,0.27299,-1.16634,-0.22633,-1.22266,-0.97973,2.12296,0.70216,-1.12887,-1.12859
8413,1,1,-0.60772,-0.49614,0.61634,-0.53269,2.11329,0.25811,0.8491,0.8568,,0.4608,-0.4179,-0.00818
40150,1,1,-0.19048,0.13646,1.53818,-0.69383,0.47347,0.78292,-1.91087,-0.06146,-1.48312,0.55131,-1.83564,-0.56345
14674,1,1,0.21853,0.07227,-0.30551,-0.04928,0.47347,-0.06485,-0.23246,-0.52059,0.45861,-0.35379,-0.20443,-0.07871
11563,1,1,-0.0913,-0.13328,-1.22735,1.56209,-0.07313,-0.71077,0.54456,0.8568,1.56818,1.30556,-1.07521,0.1248
6790,1,1,-0.53381,-0.47615,0.61634,1.40095,-1.71295,-0.58966,-1.22266,-0.97973,0.18122,-0.02192,0.32796,0.60874
13495,1,1,-0.32828,-0.3083,-0.30551,0.7564,0.47347,-0.30707,0.17113,-0.97973,-0.37356,1.00386,-0.93268,-0.80828
12397,1,1,-0.55608,-0.44275,1.53818,-1.49952,0.47347,0.78292,0.86162,0.39767,0.73601,1.18488,-0.55967,0.79013
40153,1,1,-0.16471,-0.0654,-0.30551,-0.37156,0.47347,-0.06485,0.86162,0.39767,1.29079,1.00386,0.12582,-0.3032
12028,1,1,-0.39761,-0.46254,0.61634,0.27299,-1.71295,-0.02448,0.85792,-0.97973,1.0134,-0.20294,-1.2264,-0.6066
40181,1,1,-0.38101,-0.40146,-1.22735,1.72323,-0.07313,-0.87225,0.86162,-0.06146,0.73601,0.09876,-1.2264,-0.6066
20076,1,1,0.06144,0.09976,-1.22735,0.7564,-2.25955,-0.63003,,-0.97973,,1.90896,0.45681,-0.19455
7157,1,1,0.01836,0.0379,-0.30551,-0.04928,0.47347,-0.18596,0.86162,-0.97973,0.18122,1.00386,-0.51663,0.66204
4003,1,1,0.4104,0.62397,-1.22735,1.40095,1.56668,-0.63003,0.86162,0.39767,0.45861,-1.22872,-2.43909,0.24435
8944,1,1,-0.3369,-0.26779,-0.30551,0.59527,0.47347,-0.2667,0.33906,-0.06146,0.45861,0.35736,-0.50027,1.12327
8545,1,1,-0.44035,-0.32829,1.53818,-1.17724,0.47347,0.41959,0.86162,0.39767,0.45861,0.87456,0.97936,0.44432
8950,1,1,0.68412,0.1848,-1.22735,0.27299,0.47347,-0.18596,0.56334,0.39767,-0.37356,0.09876,-0.59974,1.0932
12391,1,1,-0.53025,-0.42925,-1.22735,0.43413,-0.07313,-0.2667,0.86162,0.39767,,-0.50464,-0.3278,1.34214
40014,1,1,0.02872,0.01859,-0.30551,0.59527,1.02008,-0.02448,-1.22266,-0.97973,0.18122,1.90896,-0.3278,1.34214
