Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
40193,1,2,,,1.53818,0.91754,1.56668,-0.38781,-0.31016,-0.97973,-1.20573,-1.71144,,
678,1,2,,,-0.30551,1.56209,-0.07313,-0.50892,0.58213,-0.52059,,-0.26328,,
40108,1,2,,,0.61634,0.91754,-0.61974,-0.02448,-0.42344,-0.97973,1.56818,-1.71144,,
6592,1,2,-0.37169,-0.34255,0.61634,0.11185,0.47347,-0.10522,0.86162,0.39767,1.01340,1.10443,,
10327,1,2,0.92426,0.47082,-1.22735,2.04550,0.47347,-1.19520,-1.87928,-0.97973,-0.37356,-0.98736,,
40214,1,2,-0.32754,-0.30404,-1.22735,-0.85497,0.47347,0.21774,0.41249,0.85680,-0.65095,-0.50464,,
40133,1,2,-0.30768,-0.27561,1.53818,-0.21042,-0.07313,0.13700,-1.22266,0.39767,-0.09617,-0.04048,,
10092,1,2,-0.13201,-0.18434,-1.22735,0.75640,0.47347,-0.30707,0.68260,1.31593,,-0.26328,,
10063,1,2,0.18411,0.17351,0.61634,-1.49952,1.56668,0.45996,,-0.97973,,1.90896,,
10324,1,2,0.13919,-0.06819,0.61634,-0.04928,-0.07313,0.25811,0.86162,-0.97973,0.45861,1.60726,,
40195,1,2,-0.15717,-0.33137,-0.30551,1.40095,0.47347,-0.38781,-1.87217,-0.06146,-0.65095,1.90896,,
4321,1,2,0.12345,0.09087,-1.22735,-0.21042,0.47347,-0.06485,0.86162,0.85680,-0.37356,-0.50464,,
4279,1,2,-2.10776,-1.65209,-1.22735,0.91754,-0.61974,-0.30707,0.86162,1.31593,0.18122,-1.71144,0.68073,
10154,1,2,,,0.61634,-0.53269,1.56668,0.01589,-1.22266,-0.06146,0.18122,-1.71144,0.25054,-0.56142
5092,1,2,,,-0.30551,-0.69383,1.56668,-0.38781,-0.05230,-0.52059,-1.20573,-1.71144,0.81875,0.20899
40080,1,2,,,-1.22735,-0.85497,-1.71295,0.17737,0.39399,1.31593,0.45861,0.09876,-0.72670,-0.65924
897,1,2,,,-1.22735,0.59527,-0.07313,-0.14559,0.86162,1.77506,,0.09876,-0.50027,1.12327
40116,1,2,,,1.53818,-1.17724,0.47347,0.50033,0.86162,-0.97973,0.45861,-0.80634,-0.46658,-0.25838
938,1,2,,,-0.30551,-0.53269,1.02008,0.09663,0.00691,2.23419,,-0.26328,0.39369,-0.30436
40141,1,2,,,1.53818,-0.53269,2.11329,0.58107,0.86162,2.23419,1.01340,0.70216,-0.85040,-0.37666
3757,1,2,,,-1.22735,0.43413,-0.61974,-0.34744,0.63791,-0.97973,-0.92834,-0.67704,1.54252,2.38584
40138,1,2,,,1.53818,-1.33838,0.47347,0.37922,0.86162,2.69332,0.73601,0.70216,1.23326,2.74824
6922,1,2,,,-0.30551,0.43413,-0.07313,-0.38781,0.86162,-0.97973,-1.48312,-0.67704,-0.61570,-0.66200
7483,1,2,,,0.61634,-0.37156,-1.16634,-0.02448,0.45006,0.85680,-1.20573,-0.26328,-1.41682,-0.84883
6793,1,2,,,-1.22735,0.11185,-0.07313,-0.30707,-1.22266,-0.97973,0.45861,1.90896,0.16211,-0.19649
4048,1,2,,,-0.30551,-0.37156,-1.16634,0.25811,0.86162,-0.97973,-2.03790,0.09876,0.74327,1.87412
40152,1,2,,,-1.22735,-0.04928,-0.07313,-0.18596,-1.91087,-0.97973,-2.03790,-0.50464,0.17007,-0.56736
5758,1,2,,,-0.30551,-0.37156,-0.07313,0.17737,-1.54457,2.23419,-0.65095,-1.71144,0.19582,1.10957
5866,1,2,,,-0.30551,0.59527,-0.07313,-0.42818,0.86162,-0.06146,1.01340,-1.71144,0.50260,0.06524
40069,1,2,,,0.61634,-0.53269,-0.61974,0.33885,0.86162,-0.97973,1.01340,-1.71144,0.50260,0.06524
5230,1,2,,,-0.30551,0.43413,-0.07313,-0.26670,-0.38473,-0.52059,-0.37356,-0.74600,0.50386,0.49015
4360,1,2,,,0.61634,-0.21042,-1.16634,-0.22633,0.86162,-0.97973,0.18122,-1.22872,-0.80711,-1.00218
10036,1,2,,,-0.30551,0.11185,-0.61974,0.21774,0.77083,-0.97973,,-0.35379,-1.52874,-1.79623
11578,1,2,,,-0.30551,0.75640,-1.16634,-0.63003,0.86162,-0.97973,-0.92834,-0.74600,-0.70128,-1.57075
6859,1,2,,,-1.22735,-0.69383,-1.16634,0.33885,0.86162,-0.97973,0.18122,-0.50464,-1.16472,-1.21114
40145,1,2,,,-1.22735,0.75640,-0.07313,-0.34744,-0.38473,0.39767,-1.48312,-0.50464,0.88043,2.32456
40135,1,2,,,0.61634,0.43413,-1.71295,-0.22633,-0.16472,-0.52059,,-1.71144,-0.45608,1.69769
30246,1,2,,,-1.22735,2.69005,-0.07313,-0.46855,-1.22266,0.39767,0.18122,-1.71144,1.42683,-0.46369
40003,1,2,-0.02458,,-1.22735,-0.53269,0.47347,-0.06485,-0.14337,0.39767,-0.65095,1.00386,1.25094,-0.16844
15013,1,2,,1.30833,1.53818,0.27299,1.56668,0.09663,0.53829,-0.97973,-0.65095,-0.26328,0.11191,1.24878
10093,1,2,-0.14985,-0.25113,-1.22735,0.59527,-2.25955,-0.34744,0.86162,0.85680,1.29079,-0.98736,1.72049,-0.14635
40128,1,2,0.00106,0.06764,-0.30551,0.43413,-0.07313,0.01589,0.74066,0.85680,-0.09617,0.87456,0.30336,-0.23632
13435,1,2,-0.32567,-0.05307,-0.30551,-0.21042,1.56668,-0.02448,0.86162,-0.06146,-1.48312,-1.19424,-0.03164,-0.13331
10050,1,2,0.08910,0.00731,-1.22735,1.72323,-2.80616,-0.50892,0.65613,-0.06146,-0.65095,-0.80634,2.02458,0.51286
7360,1,2,-0.11120,0.01073,0.61634,-0.53269,-1.16634,0.25811,0.86162,-0.97973,0.73601,-0.50464,-0.39552,0.73453
40037,1,2,-0.25455,-0.20895,1.53818,-1.49952,0.47347,0.41959,0.75119,1.31593,0.18122,-0.04048,-0.91732,0.17325
10140,1,2,-0.46440,-0.38898,-1.22735,-0.04928,-0.07313,-0.42818,-1.22266,-0.97973,-1.20573,-1.10804,-1.85938,-0.37995
4084,1,2,0.86620,0.55121,0.61634,-0.21042,-0.61974,0.01589,0.86162,-0.97973,-1.48312,0.46080,-1.65514,-0.94777
10606,1,2,0.82681,-0.03591,-1.22735,1.72323,-0.07313,-1.07410,-1.22266,-0.97973,-0.37356,0.21944,0.32796,0.60874
40113,1,2,0.25713,0.16398,-1.22735,-1.33838,-0.07313,0.01589,0.35130,-0.52059,-0.37356,-0.72406,0.45091,0.32825
10062,1,2,-0.16851,-0.24718,-0.30551,-0.53269,-0.07313,0.05626,-0.16472,0.39767,-1.48312,0.87456,-1.27105,-0.01698
11668,1,2,0.01274,0.05831,-1.22735,-0.53269,-0.07313,0.09663,-1.22266,-0.52059,0.73601,-0.98736,-1.15182,0.99678
