Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
10123,2,1,,,,,,,0.86162,,,,,
20155,2,1,,,,1.72323,,-1.0741,,3.15246,,-0.50464,,
13513,2,1,,2.07826,-0.30551,0.27299,-0.61974,-0.22633,0.86162,-0.97973,-2.0379,0.4608,,
10163,2,1,-0.30459,-0.14258,-0.30551,-0.21042,-2.25955,-0.06485,0.86162,1.31593,-0.65095,-0.80634,,
20101,2,1,-0.46633,-0.44675,0.61634,0.43413,-0.61974,-0.38781,-1.22266,0.8568,-0.09617,0.09876,,
20131,2,1,0.00043,-0.18622,0.61634,0.27299,1.56668,-0.10522,-1.92767,-0.52059,0.18122,1.90896,,
20141,2,1,-0.44726,-0.34768,1.53818,0.27299,-0.07313,-0.34744,-1.22266,0.39767,-1.20573,0.35736,,
23629,2,1,-0.31635,0.05119,-0.30551,0.59527,-0.61974,-0.38781,-1.22266,-0.97973,-1.48312,-0.98736,,
20139,2,1,0.40898,0.34959,1.53818,-0.85497,0.47347,0.70218,0.50044,-0.52059,0.18122,1.00386,,
20117,2,1,-0.13513,0.02332,1.53818,-0.69383,1.56668,0.78292,0.86162,-0.97973,-0.09617,0.09876,,
20037,2,1,-0.10184,-0.19386,0.61634,-1.49952,0.47347,0.5407,-0.34602,-0.97973,1.0134,1.90896,,
13597,2,1,-0.38054,-0.37428,0.61634,0.7564,-0.07313,-0.30707,0.86162,0.39767,1.0134,-0.80634,,
13243,2,1,-0.42324,-0.35729,0.61634,-0.37156,0.47347,0.41959,0.86162,-0.97973,-0.37356,-0.35379,,
30311,2,1,0.16724,0.16763,-1.22735,1.40095,-2.80616,-0.50892,-1.61544,-0.97973,1.29079,-1.71144,,
20314,2,1,1.00113,2.02969,1.53818,0.27299,-1.16634,-0.22633,0.86162,-0.97973,2.12296,1.25071,,
20656,2,1,0.67788,0.40723,1.53818,-1.17724,2.11329,0.25811,0.86162,-0.97973,-1.48312,,,
20135,2,1,-0.12017,-0.16999,1.53818,-0.37156,1.02008,0.137,0.86162,-0.52059,1.0134,1.5067,,
20124,2,1,1.04263,0.99713,0.61634,-1.33838,1.02008,0.58107,0.70821,-0.97973,0.45861,0.82284,,
20111,2,1,0.09,-0.05431,-0.30551,1.07868,-0.61974,-0.22633,-0.81793,-0.06146,-0.65095,-0.50464,,
20112,2,1,-0.57057,-0.50255,-1.22735,1.23982,-1.16634,-0.71077,0.86162,1.77506,0.18122,1.18488,,
20153,2,1,-0.42992,-0.35447,1.53818,-0.37156,1.56668,0.05626,-1.51127,-0.97973,-0.92834,1.5067,,
20116,2,1,0.34748,0.36856,-1.22735,1.40095,-0.61974,-0.30707,-1.92767,1.77506,-0.37356,-0.80634,,0.21749
1012322,2,1,,,-0.30551,-1.01611,-0.07313,0.21774,,-0.06146,,-0.80634,-0.21372,0.10073
201552,2,1,,,0.61634,-1.33838,1.02008,0.45996,-0.98842,-0.06146,-2.31529,-0.50464,-1.88427,-1.2348
467,2,1,,,0.61634,0.11185,-2.80616,0.137,-1.22266,0.39767,,0.4608,1.62049,1.76872
20143,2,1,,,0.61634,-0.21042,1.56668,0.09663,0.86162,0.39767,-0.37356,0.2999,0.2021,-1.14684
20150,2,1,,,0.61634,0.27299,1.02008,-0.42818,-0.02782,-0.06146,1.56818,0.70216,-0.5529,1.27492
