Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
10203,2,2,,,-0.30551,-1.17724,0.47347,0.66181,-1.92112,0.39767,1.0134,-0.72406,,
30058,2,2,1.88177,0.68468,1.53818,-1.17724,0.47347,0.25811,0.34817,1.31593,0.45861,-0.80634,,
30129,2,2,-0.12527,-0.08118,-1.22735,1.72323,0.47347,-0.58966,0.86162,-0.97973,-0.92834,-1.40974,,
30287,2,2,0.29866,0.27696,1.53818,-1.17724,1.02008,0.5407,-1.22266,1.77506,0.73601,1.90896,,
30297,2,2,-0.14743,0.17395,-1.22735,1.40095,0.47347,-0.95299,0.86162,-0.97973,-0.65095,0.92158,,
30315,2,2,-0.12403,-0.11495,1.53818,-0.53269,0.47347,0.45996,0.54854,2.23419,-0.37356,-0.80634,,
30306,2,2,-0.70506,-0.54024,0.61634,-0.69383,0.47347,0.50033,-1.89664,-0.97973,0.73601,1.45641,,
30299,2,2,-2.07474,-1.66662,0.61634,-1.33838,-0.61974,0.37922,0.70821,-0.52059,-0.37356,1.90896,,
30203,2,2,0.66005,0.05368,-1.22735,1.07868,-0.07313,-0.54929,-1.47967,0.8568,2.12296,0.09876,,
30268,2,2,-0.29879,-0.27824,1.53818,-0.53269,0.47347,0.5407,-1.22266,-0.97973,1.56818,1.90896,,
30276,2,2,-0.11074,-0.18195,-0.30551,-0.04928,-0.07313,0.137,-0.45987,-0.52059,0.73601,0.09876,,
302744,2,2,0.17373,0.09271,0.61634,-0.69383,-0.07313,0.01589,-0.79516,-0.52059,,-0.26328,,
30071,2,2,-0.15141,-0.12059,-1.22735,1.88437,-0.07313,-0.79151,-0.62609,0.8568,-0.65095,-0.80634,,
30115,2,2,,,-1.22735,0.27299,-0.61974,0.01589,0.82889,-0.97973,,-1.22872,0.26612,
