ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
6446,4,1,1,0.38751,-1.56554,-1.08977,-0.714,1.00116,,,-0.70919,,,,,,,,,,,,,0.77433
6487,4,1,1,-0.25495,-0.73085,-0.82894,0.00156,0.5507,,,0.26893,,,,,,,,,,,,,-1.50694
6564,4,1,1,0.37263,-1.01689,-0.23648,-1.07178,1.00116,,,0.92769,,,,,,,,,,,,,-0.22372
6670,4,1,1,0.91484,-0.51531,0.9344,-1.25067,1.45163,,,0.26236,,,,,,,,,,,,,0.20401
6671,4,1,1,1.96558,1.58715,-0.42765,1.07489,-0.35024,,,0.40531,,,,,,,,,,,,,-0.3663
6714,4,1,1,-0.00853,1.26177,-0.33536,0.18045,0.10023,,,0.12254,,,,,,,,,,,,,-0.82256
6747,4,1,1,-0.18154,0.65178,1.96729,-0.53511,0.77593,,,1.03494,,,,,,,,,,,,,1.91496
6758,4,1,1,0.01176,-0.76009,-1.44977,0.35933,0.10023,,,0.70097,,,,,,,,,,,,,1.91496
6846,4,1,1,-0.63609,1.94181,-0.76428,-0.35622,-0.80071,,,0.41173,,,,,,,,,,,,,-0.82256
6871,4,1,1,-1.60911,0.14609,-0.34847,0.35933,-0.12501,,,1.01324,,,,,,,,,,,,,1.05949
6886,4,1,1,0.08316,-0.86812,0.59601,0.53822,-1.02594,,,-0.86054,,,,,,,,,,,,,-1.50694
6942,4,1,1,0.17224,0.53367,-0.06257,-0.714,0.77593,,,0.5374,,,,,,,,,,,,,0.77433
6944,4,1,1,1.29559,1.4799,,1.61156,-1.47641,,,0.21479,,,,,,,,,,,,,-0.65146
6952,4,1,1,-0.19663,-0.44507,-0.41253,-0.35622,0.5507,,,0.39834,,,,,,,,,,,,,-1.0792
6981,4,1,1,-0.25495,-0.73085,-0.82894,0.35933,-0.35024,,,0.58656,,,,,,,,,,,,,-0.93662
7031,4,1,1,0.209,0.32481,-0.10207,0.53822,-0.35024,,,1.25069,,,,,,,,,,,,,1.05949
7095,4,1,1,0.54071,0.52353,0.16941,0.53822,-1.02594,,,0.53499,,,,,,,,,,,,,0.20401
