ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
5322,2,0,1,-0.25495,-0.73085,-0.82894,,,,,,,,,,,,,,,,,,-1.50694
5323,2,0,1,0.04956,-0.58007,0.29001,,,,,,,,,,,,,,,,,,-1.50694
5392,2,0,1,-0.8384,0.91537,0.04496,0.53822,-0.57547,,-1.08097,1.03726,,,,,,,,,,,,,-0.13818
5463,2,0,1,-1.00986,-0.6425,0.13557,,,,,,,,,,,,,,,,,,-1.50694
5739,2,0,1,0.21108,0.63276,0.188,0.00156,-0.57547,,0.86901,-0.70722,,,,,,,,,,,,,-0.13818
5806,2,0,1,0.21476,0.73161,1.36435,,,,,,,,,,,,,,,,,,-1.50694
5840,2,0,1,-0.37826,0.33547,-0.45448,0.18045,0.77593,,0.86901,0.64501,,,,,,,,,,,,,-1.50694
5884,2,0,1,1.77108,2.08216,-0.07151,,,,,,,,,,,,,,,,,,-1.50694
5964,2,0,1,0.209,0.32481,-0.10207,0.00156,-1.92688,,0.86901,-0.26898,,,,,,,,,,,,,0.77433
5986,2,0,1,0.83366,,,,,,,,,,,,,,,,,,,,-1.50694
5998,2,0,1,-1.05389,0.3719,1.01673,-0.53511,0.77593,,1.35651,0.47676,,,,,,,,,,,,,0.20401
6413,2,0,1,-0.19663,-0.44507,-0.41253,,,,,,,,,,,,,,,,,,-1.50694
6556,2,0,1,0.38373,-0.64591,0.79029,-1.42956,0.5507,,,0.62637,,,,,,,,,,,,,
6578,2,0,1,0.39629,2.86678,2.27672,-0.714,0.5507,,,0.95754,,,,,,,,,,,,,1.91496
6660,2,0,1,-0.00853,1.26177,-0.33536,0.53822,0.10023,,,,,,,,,,,,,,,,-0.52925
6712,2,0,1,1.54637,0.47309,0.23283,0.71711,-0.57547,,,1.65163,,,,,,,,,,,,,-1.50694
6769,2,0,1,-0.2521,-0.22494,0.51335,1.25378,0.10023,,,-1.22034,,,,,,,,,,,,,0.77433
6867,2,0,1,-0.04858,0.60573,-0.80872,-0.714,-0.12501,,,2.76898,,,,,,,,,,,,,1.05949
6903,2,0,1,-0.20929,0.701,1.26569,0.00156,-0.57547,,,0.01392,,,,,,,,,,,,,1.91496
6926,2,0,1,-1.48682,-1.01443,-0.46321,1.25378,-2.15211,,,0.06082,,,,,,,,,,,,,0.77433
