ID	Group	gender	condition	ZENGDiff	ZSTEMMajorDiff	ZCMDiff	ZDV	Zmathid	ZSAQ1	Zevap2	ZDwrong	ZFDMNBG	ZSDMNBG	ZSFPNBG	ZFDPDBG	ZFDMNSMT	ZFDMNSMA	ZFDPDSMT	ZFDPDSMA	ZSDMNSMT	ZSFPNSMT	ZSFPNSMA	ZSDMNSMA	coratmpt
5290	1	0	0	0.222775312	0.178587637	-0.486702616	-0.356222261	1.07323756	 	0.869014341	-0.314686503	 	 	 	 	 	 	 	 	 	 	 	 	57.14285714
5291	3	1	0	-1.291241893	-0.668683344	-0.855456607	1.969338196	-0.352492252	 	-1.080969059	-0.128202683	 	 	 	 	 	 	 	 	 	 	 	 	66.66666667
5307	1	0	0	0.873241487	0.323908688	-1.519393914	0.8960026	-1.926876358	 	-1.080969059	0.745366026	 	 	 	 	 	 	 	 	 	 	 	 	16.66666667
5320	3	1	0	1.965580655	1.587154845	-0.427646873	1.074891866	-0.575473692	 	0.869014341	0.05054099	 	 	 	 	 	 	 	 	 	 	 	 	0
5322	2	0	1	-0.254946224	-0.730851103	-0.82893503	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0
5323	2	0	1	0.049558173	-0.580068503	0.290014234	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0
5330	3	1	0	-1.070361362	-0.66889701	-1.281470335	-0.356222261	-0.426819399	 	1.356510191	-1.179567716	 	 	 	 	 	 	 	 	 	 	 	 	50
5346	1	0	0	0.567586766	0.175187273	-0.643168467	0.180445537	0.025900494	 	0.869014341	1.164215714	 	 	 	 	 	 	 	 	 	 	 	 	100
5354	1	0	0	0.209000517	0.324813371	-0.102069376	-1.429557856	1.451630307	 	1.356510191	0.554893709	 	 	 	 	 	 	 	 	 	 	 	 	50
5356	1	0	0	1.625007071	-0.519585291	-0.399923729	 	0.100227641	 	 	-0.919098624	 	 	 	 	 	 	 	 	 	 	 	 	0
5360	1	0	0	0.779928653	-1.325680796	-0.644622609	-0.892890058	1.451630307	 	1.356510191	-0.967070688	 	 	 	 	 	 	 	 	 	 	 	 	22.22222222
5361	1	0	0	2.15255571	1.385513832	0.149950505	1.969338196	0.100227641	 	0.869014341	-1.227962639	 	 	 	 	 	 	 	 	 	 	 	 	33.33333333
5372	3	1	0	-0.559809588	-1.444764624	-0.832452894	 	0.85025612	 	 	-0.746313539	 	 	 	 	 	 	 	 	 	 	 	 	0
5377	1	0	0	-0.254946224	-0.730851103	-0.82893503	0.717113335	0.323209081	 	1.844006041	1.565042326	 	 	 	 	 	 	 	 	 	 	 	 	33.33333333
5392	2	0	1	-0.838402926	0.915372935	0.044962809	0.538224069	-0.575473692	 	-1.080969059	1.037260232	 	 	 	 	 	 	 	 	 	 	 	 	40
5401	1	0	0	0.950589941	-0.403477852	-0.955598317	0.001556271	-0.426819399	 	0.381518491	-0.607799099	 	 	 	 	 	 	 	 	 	 	 	 	20
5406	3	1	0	-0.542971851	0.426595343	-0.042336998	-1.429557856	1.451630307	 	0.381518491	-0.548927163	 	 	 	 	 	 	 	 	 	 	 	 	100
5412	1	0	0	-1.533252645	 	-1.153359866	-0.892890058	1.451630307	 	0.381518491	1.527607061	 	 	 	 	 	 	 	 	 	 	 	 	100
5431	1	0	0	0.209000517	0.324813371	-0.102069376	-0.892890058	1.228648867	 	-1.080969059	-0.568603845	 	 	 	 	 	 	 	 	 	 	 	 	60
5432	1	0	0	1.729747917	0.590475544	-0.1261344	 	-0.197080946	 	 	1.740107639	 	 	 	 	 	 	 	 	 	 	 	 	0
5436	3	1	0	-0.288659221	-0.46176052	0.356117987	0.717113335	1.07323756	 	-0.593473209	-0.074054241	 	 	 	 	 	 	 	 	 	 	 	 	60
5439	3	1	0	0.318111417	-0.337388587	0.614807654	0.001556271	-0.048426653	 	-1.080969059	-0.833646634	 	 	 	 	 	 	 	 	 	 	 	 	66.66666667
5441	1	0	0	-0.659500382	-1.681479074	-0.044580119	3.400452323	-1.251175025	 	-0.105977359	-0.663712618	 	 	 	 	 	 	 	 	 	 	 	 	33.33333333
5452	1	0	0	-0.677208725	-0.01894672	0.072163027	2.506005993	-0.724127985	 	0.381518491	0.239913588	 	 	 	 	 	 	 	 	 	 	 	 	33.33333333
5455	3	1	0	-0.903266443	-1.462084736	-0.202677864	2.148227462	-0.649800839	 	0.869014341	-0.347226268	 	 	 	 	 	 	 	 	 	 	 	 	50
5460	1	0	0	-0.008525901	1.261766969	-0.335355316	0.8960026	0.174554787	 	-1.080969059	0.143403914	 	 	 	 	 	 	 	 	 	 	 	 	18.18181818
5463	2	0	1	-1.009861318	-0.642499206	0.135567309	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0
