ID,Group,gender,condition,ZENGDiff,ZSTEMMajorDiff,ZCMDiff,ZDV,Zmathid,ZSAQ1,Zevap2,ZDwrong,ZFDMNBG,ZSDMNBG,ZSFPNBG,ZFDPDBG,ZFDMNSMT,ZFDMNSMA,ZFDPDSMT,ZFDPDSMA,ZSDMNSMT,ZSFPNSMT,ZSFPNSMA,ZSDMNSMA,Zcoratmpt
5290,1,0.00,0.00,0.22278,0.17859,-0.48670,-0.35622,1.07324,,0.86901,-0.31469,,,,,,,,,,,,,0.44843
5291,3,1.00,0.00,-1.29124,-0.66868,-0.85546,1.96934,-0.35249,,-1.08097,-0.12820,,,,,,,,,,,,,0.77433
5307,1,0.00,0.00,0.87324,0.32391,-1.51939,0.89600,-1.92688,,-1.08097,0.74537,,,,,,,,,,,,,-0.93662
5320,3,1.00,0.00,1.96558,1.58715,-0.42765,1.07489,-0.57547,,0.86901,0.05054,,,,,,,,,,,,,-1.50694
5322,2,0.00,1.00,-0.25495,-0.73085,-0.82894,,,,,,,,,,,,,,,,,,-1.50694
5323,2,0.00,1.00,0.04956,-0.58007,0.29001,,,,,,,,,,,,,,,,,,-1.50694
5330,3,1.00,0.00,-1.07036,-0.66890,-1.28147,-0.35622,-0.42682,,1.35651,-1.17957,,,,,,,,,,,,,0.20401
5346,1,0.00,0.00,0.56759,0.17519,-0.64317,0.18045,0.02590,,0.86901,1.16422,,,,,,,,,,,,,1.91496
5354,1,0.00,0.00,0.20900,0.32481,-0.10207,-1.42956,1.45163,,1.35651,0.55489,,,,,,,,,,,,,0.20401
5356,1,0.00,0.00,1.62501,-0.51959,-0.39992,,0.10023,,,-0.91910,,,,,,,,,,,,,-1.50694
5360,1,0.00,0.00,0.77993,-1.32568,-0.64462,-0.89289,1.45163,,1.35651,-0.96707,,,,,,,,,,,,,-0.74651
5361,1,0.00,0.00,2.15256,1.38551,0.14995,1.96934,0.10023,,0.86901,-1.22796,,,,,,,,,,,,,-0.36630
5372,3,1.00,0.00,-0.55981,-1.44476,-0.83245,,0.85026,,,-0.74631,,,,,,,,,,,,,-1.50694
5377,1,0.00,0.00,-0.25495,-0.73085,-0.82894,0.71711,0.32321,,1.84401,1.56504,,,,,,,,,,,,,-0.36630
5392,2,0.00,1.00,-0.83840,0.91537,0.04496,0.53822,-0.57547,,-1.08097,1.03726,,,,,,,,,,,,,-0.13818
5401,1,0.00,0.00,0.95059,-0.40348,-0.95560,0.00156,-0.42682,,0.38152,-0.60780,,,,,,,,,,,,,-0.82256
5406,3,1.00,0.00,-0.54297,0.42660,-0.04234,-1.42956,1.45163,,0.38152,-0.54893,,,,,,,,,,,,,1.91496
5412,1,0.00,0.00,-1.53325,,-1.15336,-0.89289,1.45163,,0.38152,1.52761,,,,,,,,,,,,,1.91496
5431,1,0.00,0.00,0.20900,0.32481,-0.10207,-0.89289,1.22865,,-1.08097,-0.56860,,,,,,,,,,,,,0.54620
5432,1,0.00,0.00,1.72975,0.59048,-0.12613,,-0.19708,,,1.74011,,,,,,,,,,,,,-1.50694
5436,3,1.00,0.00,-0.28866,-0.46176,0.35612,0.71711,1.07324,,-0.59347,-0.07405,,,,,,,,,,,,,0.54620
5439,3,1.00,0.00,0.31811,-0.33739,0.61481,0.00156,-0.04843,,-1.08097,-0.83365,,,,,,,,,,,,,0.77433
5441,1,0.00,0.00,-0.65950,-1.68148,-0.04458,3.40045,-1.25118,,-0.10598,-0.66371,,,,,,,,,,,,,-0.36630
5452,1,0.00,0.00,-0.67721,-0.01895,0.07216,2.50601,-0.72413,,0.38152,0.23991,,,,,,,,,,,,,-0.36630
5455,3,1.00,0.00,-0.90327,-1.46208,-0.20268,2.14823,-0.64980,,0.86901,-0.34723,,,,,,,,,,,,,0.20401
5460,1,0.00,0.00,-0.00853,1.26177,-0.33536,0.89600,0.17455,,-1.08097,0.14340,,,,,,,,,,,,,-0.88477
5463,2,0.00,1.00,-1.00986,-0.64250,0.13557,,,,,,,,,,,,,,,,,,-1.50694
5464,1,0.00,0.00,-0.48669,-1.53825,-0.66020,0.18045,-1.25118,,0.38152,-0.00891,,,,,,,,,,,,,0.77433
5488,3,1.00,0.00,-0.03588,-0.12297,-1.23553,-1.07178,1.37730,,-1.08097,-1.27874,,,,,,,,,,,,,-0.65146
5490,3,1.00,0.00,0.20900,0.32481,-0.10207,1.07489,-0.64980,,-0.59347,-3.29654,,,,,,,,,,,,,-0.82256
5502,1,0.00,0.00,-0.25495,-0.73085,-0.82894,0.35933,-0.04843,,0.86901,1.41133,,,,,,,,,,,,,-1.50694
5506,3,1.00,0.00,-0.31420,-1.22545,-0.78706,0.35933,1.07324,,-0.59347,-0.68413,,,,,,,,,,,,,1.34465
5518,3,1.00,0.00,0.73964,0.44595,-0.33408,0.53822,0.10023,,0.86901,-0.31549,,,,,,,,,,,,,1.91496
5524,1,0.00,0.00,0.75156,0.53831,1.72709,,,,,,,,,,,,,,,,,,-1.50694
5529,1,0.00,0.00,0.34061,0.63066,1.50245,,,,,,,,,,,,,,,,,,-1.50694
5530,3,1.00,0.00,-0.98129,-1.09852,-0.82333,0.53822,-0.12501,,,0.31279,,,,,,,,,,,,,0.77433
5532,1,0.00,0.00,-1.63277,1.02031,-1.30356,,0.02590,,,1.05258,,,,,,,,,,,,,-1.50694
5533,1,0.00,0.00,-1.87644,-1.00648,-0.90380,2.14823,-1.92688,,,0.09924,,,,,,,,,,,,,-0.93662
5555,1,0.00,0.00,2.07717,-1.16390,1.31288,,,,,,,,,,,,,,,,,,-1.50694
5557,1,0.00,0.00,-0.09402,-0.71500,-0.68023,0.53822,-0.27817,,-0.59347,0.44376,,,,,,,,,,,,,0.20401
5559,3,1.00,0.00,0.14986,-1.36778,-1.39876,0.00156,-0.04843,,-0.10598,2.14167,,,,,,,,,,,,,0.93728
5560,3,1.00,0.00,-1.18429,,1.25693,0.18045,0.10023,,-0.10598,0.81861,,,,,,,,,,,,,1.91496
5564,1,0.00,0.00,1.24548,0.52807,-0.44159,1.43267,-1.77822,,0.38152,1.74121,,,,,,,,,,,,,0.77433
5567,3,1.00,0.00,-0.01043,-1.08891,-0.94382,0.00156,-0.35249,,-0.10598,-0.48503,,,,,,,,,,,,,-0.04041
5580,1,0.00,0.00,-0.25210,-0.22494,0.51335,-0.35622,-0.80071,,,0.02087,,,,,,,,,,,,,-0.36630
5581,3,1.00,0.00,-1.58517,-1.63253,-0.21387,0.35933,0.62727,,-0.59347,-0.07405,,,,,,,,,,,,,0.54620
5588,1,0.00,0.00,0.15304,1.78830,-1.24501,2.32712,-0.64980,,0.86901,-0.87310,,,,,,,,,,,,,-0.13818
5604,1,0.00,0.00,-0.04634,0.74047,-0.70716,-0.17733,0.10023,,-1.08097,-0.06748,,,,,,,,,,,,,0.77433
5606,1,0.00,0.00,-0.77010,-0.78147,-0.73681,0.89600,-1.25118,,-0.59347,-0.00319,,,,,,,,,,,,,0.77433
5616,1,0.00,0.00,-0.80743,-1.22702,-0.02584,0.89600,-0.12275,,-1.08097,-0.15238,,,,,,,,,,,,,1.23058
5623,1,0.00,0.00,0.20934,,2.08879,2.14823,-1.54848,,-1.08097,0.26324,,,,,,,,,,,,,-1.50694
5626,3,1.00,0.00,-0.25495,-0.73085,-0.82894,-0.35622,-0.04843,,-0.59347,,,,,,,,,,,,,,-0.13818
5628,3,1.00,0.00,-0.10274,0.87881,-0.48868,1.43267,0.02590,,0.38152,-0.96240,,,,,,,,,,,,,-0.82256
5632,1,0.00,0.00,-0.22974,0.21603,-0.09785,1.07489,-0.19708,,-1.08097,-2.44388,,,,,,,,,,,,,-0.36630
5633,1,0.00,0.00,-1.90986,-1.16157,-0.77739,0.53822,-2.07553,,0.38152,-0.25748,,,,,,,,,,,,,-0.82256
5634,1,0.00,0.00,-0.94391,0.72102,-1.05285,1.61156,-0.19708,,-1.08097,-1.47159,,,,,,,,,,,,,1.23058
5636,3,1.00,0.00,-0.55981,-1.44476,-0.83245,-0.35622,1.37730,,-1.08097,-1.06244,,,,,,,,,,,,,-0.13818
5642,1,0.00,0.00,-0.34075,0.09950,-0.13488,,,,,,,,,,,,,,,,,,-1.50694
5669,1,0.00,0.00,0.20900,0.32481,-0.10207,,0.99891,,,-0.62631,,,,,,,,,,,,,-1.50694
5673,3,1.00,0.00,-0.16200,0.79515,0.52845,1.79045,-0.57547,,-0.59347,-1.45910,,,,,,,,,,,,,-0.93662
5679,1,0.00,0.00,-0.32842,-0.52344,0.11894,2.14823,-0.04843,,0.86901,1.38398,,,,,,,,,,,,,-0.65146
5685,3,1.00,0.00,-0.04939,-0.58582,1.45120,0.18045,-0.12501,,,-0.09519,,,,,,,,,,,,,0.93728
5692,1,0.00,0.00,-0.76496,0.13565,-0.44429,,,,,,,,,,,,,,,,,,-1.50694
