Geography,year,ZTPercentlessthanHS,ZTMaleCandM,ZTMaleAandEng,ZTMaleLPSS,ZTFemaleCandM,ZTFemaleAandEng,ZTFemaleLPSS,ZTTotalEstimateTotalpopulation,ZTMaleEstimateTotalpopulation,ZTFemaleEstimateTotalpopulation,ZTMeninSTEMMajors,ZTWomeninSTEMMajors,ZTMeninothermajors,ZTwomeninothermajors,ZTPercentBelowPovertyLevel,ZTotalVerbalMean,ZMathMean,ZFemaleVerbalMean,ZMathMean_Female,ZMaleVerbalmean,ZMathMean_Male,ZD_biepMale_Science_all,Zlarts_7,Zlscience_7,Zran9thboys,Zran9thgirls
Alabama,2005,1.62569,-0.12842,0.27463,-0.05601,-0.00299,0.07717,-0.25693,0.17981,0.15933,0.19930,,,,,0.71941,0.21936,0.07546,0.65351,0.04395,0.88449,0.50704,0.90586,,,,
Alabama,2006,1.65010,-0.12032,0.32728,-0.13510,0.03274,0.30144,-0.25785,0.21358,0.19863,0.22793,,,,,0.63600,0.20411,0.08689,0.69906,0.06610,0.72893,0.52812,0.90586,-1.40014,1.48293,2.79808,-0.69155
Alabama,2007,1.60604,-0.09008,0.26595,-0.13164,-0.05023,0.52121,-0.46845,0.21968,0.20200,0.23656,,,,,0.69875,0.15455,0.05832,0.51683,0.04395,0.62522,0.44381,0.65482,-0.03250,0.37708,0.01903,-0.37046
Alabama,2008,1.34228,-0.06848,0.28940,-0.31126,-0.08504,0.37964,-0.23792,0.22683,0.21099,0.24200,,,,,0.44073,0.16218,0.06404,0.57378,0.04949,0.62522,0.46489,1.91004,-0.54537,0.81942,0.57484,0.40016
Alabama,2009,1.30235,-0.12073,0.23471,-0.31635,0.16782,0.10356,-0.28846,0.23658,0.22043,0.25203,-0.08214,-0.18727,-0.05077,0.01873,0.82096,0.11262,0.03547,0.47128,0.02180,0.46966,0.35949,0.65482,-0.94426,0.55402,-0.25888,-0.15640
Alabama,2010,1.29744,-0.01013,0.29483,-0.38977,0.03251,0.39764,-0.77347,0.25233,0.23808,0.26599,-0.11451,-0.18801,0.00129,0.02644,1.10906,0.08974,0.02405,0.30044,-0.01143,0.51114,0.42273,0.65482,-0.94426,0.55402,0.99170,0.05766
Alabama,2011,1.18659,-0.02812,0.21232,-0.46520,0.09149,-0.02364,-0.40801,0.25588,0.23899,0.27200,-0.09210,-0.15485,0.01484,0.05557,1.10906,0.02112,-0.02737,0.17515,-0.04465,0.23113,0.12763,1.40795,-0.60235,0.33285,0.78327,0.89250
Alabama,2012,0.93754,0.10147,0.19101,-0.39756,0.09019,0.44328,-0.27520,0.25979,0.24399,0.27490,-0.07075,-0.11123,0.09137,0.10129,1.10906,-0.04368,-0.08450,-0.10958,-0.12218,0.15853,0.06440,0.90586,-1.28617,0.50978,1.89489,0.93531
Alabama,2013,0.81784,-0.01814,0.31954,-0.22339,0.02272,0.24604,-0.46340,0.26215,0.24632,0.27729,0.00457,-0.10389,0.03771,0.12521,1.05331,-0.00937,-0.06736,0.01570,-0.08342,0.23113,0.02224,0.65482,-1.68507,0.02321,1.45487,0.89250
Alabama,2014,0.77990,0.02970,0.26813,-0.30326,0.14874,0.30248,-0.45519,0.26531,0.24887,0.28100,-0.01435,-0.05565,0.05387,0.12817,1.16394,0.00969,-0.04451,0.03848,-0.07788,0.31409,0.16979,0.15273,-0.60235,0.02321,0.45904,0.57141
