SubjectID,Gender,coratmpt_V1,Dcorrect_AllProblems_V1,Dwrong_AllProblems_V1,NONSTEMImageDotPmean_V1,STEMImageDotPmean_V1,effort_V1,GRIT_V1,mathdevalue_V1,MoodComp_V1,SAQ1_V1,WrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,WrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,WrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,WrongFeedback_DPD_SelectedModularity_Theta,WrongFeedback_DPD_SelectedModularity_Beta,WrongFeedback_DPD_SelectedModularity_Gamma,MajorChangeLikelihood_PostQ
11443.000000000000000,0,100.00,-0.716604623894033,-0.056395428402730,441.06250000000000,425.70967741935500,3,2.25,3.20,4.50,5,-0.221900613548785,-0.130028905067264,-0.131686656376384,,,,4
12120.000000000000000,0,50.00,-0.312223993342630,-0.380573715830724,337.78125000000000,336.64516129032300,4,2.25,2.80,3.75,7,0.026905312515900,-0.272879770347503,-0.140403543154189,-0.24,-0.22,-0.20,
12625.000000000000000,0,14.29,-0.285840874881166,0.471002351178183,391.43750000000000,370.00000000000000,5,2.17,2.40,1.25,6,-0.248197076299876,-0.246794531068960,-0.153602881159474,-0.31,-0.44,-0.57,5
13230.000000000000000,0,66.67,-0.104888981621514,0.136750980620444,366.00000000000000,353.62500000000000,6,2.75,1.80,2.00,7,-0.113067277330457,0.034944377651121,-0.000277503207185,0.04,-0.20,-0.23,
14369.000000000000000,0,83.33,0.767688421458057,0.128856728853065,392.12500000000000,402.34375000000000,6,2.75,3.40,2.25,7,-0.098497625103174,-0.091939213819412,-0.041786160140163,-0.03,-0.11,-0.26,
15311.000000000000000,0,50.00,0.463775497383724,-0.123106613896952,448.00000000000000,511.81250000000000,7,2.00,2.00,2.25,8,-0.116761658347681,-0.057173212543250,-0.030569401391568,-0.47,-0.22,-0.26,4
16257.000000000000000,0,50.00,-0.525060361829982,0.347075565388329,404.81250000000000,360.53125000000000,4,2.33,2.80,1.50,8,-0.108322504966756,-0.261367797553549,-0.166875807570524,0.06,-0.10,0.00,
18035.000000000000000,0,60.00,-0.226396057918708,-0.260444983560703,430.62500000000000,418.41935483871000,5,2.67,2.40,1.00,5,-0.220613414167788,0.025237979449903,-0.000773159299793,-0.20,-0.15,-0.18,5
19152.000000000000000,0,100.00,-0.380318515550538,-0.184373465949508,378.93750000000000,391.81250000000000,6,2.33,1.40,5.75,6,-0.052239254968460,-0.169558298132795,-0.067958749836888,0.03,-0.02,0.02,5
23500.000000000000000,0,0.00,0.593611731897279,0.175898073499506,386.53125000000000,370.56250000000000,4,3.33,3.60,1.25,5,-0.058163711134027,-0.035961843392135,-0.092495572523621,-0.12,-0.04,-0.13,5
25558.000000000000000,0,0.00,-0.412976224064078,-0.401299667980484,485.21875000000000,429.53125000000000,7,2.83,1.80,1.50,6,-0.003997209693560,-0.111199004087645,-0.008023403211934,0.04,-0.32,-0.02,
28530.000000000000000,0,46.15,0.848503835912804,0.712974896065198,375.50000000000000,365.34375000000000,4,2.83,2.60,6.00,6,,,,,,,
31013.000000000000000,0,62.50,-0.277717019956710,0.310743663594973,419.37500000000000,426.46875000000000,4,2.00,2.20,1.25,8,-0.122991626119632,-0.221109230495196,-0.134128660566334,-0.09,-0.20,-0.20,
35004.000000000000000,0,50.00,0.301507819623405,0.278733960015595,2798.06451612903000,384.46875000000000,4,2.75,2.20,3.25,7,-0.114152720972493,-0.098897645339187,-0.163884038045800,0.13,-0.17,-0.02,5
37762.000000000000000,0,33.33,0.150969215496777,0.240206291953746,423.64516129032300,409.09375000000000,6,3.00,1.60,3.25,7,,,,,,,5
38298.000000000000000,0,60.00,0.314875860113553,0.646277631163341,457.80645161290300,460.19354838709700,7,2.08,1.40,1.50,6,-0.079968216693133,-0.084323421792707,-0.083594043534257,-0.07,0.06,-0.07,5
39396.000000000000000,0,13.33,,,405.12500000000000,394.43750000000000,7,2.75,1.60,1.00,6,,,,,,,5
39941.000000000000000,0,66.67,-0.179328036908850,0.134966684846824,520.28125000000000,523.75000000000000,2,1.92,2.00,1.00,8,-0.111602203660882,-0.190392496316720,-0.270250278947425,0.17,-0.07,0.02,5
40260.000000000000000,0,20.00,-0.771048365485721,-0.052981712102997,365.59375000000000,366.28125000000000,4,2.58,1.60,1.00,8,-0.206440069419401,-0.122532944221940,-0.259813344374016,-0.21,-0.29,-0.45,5
40972.000000000000000,0,66.67,0.523560254175453,0.332478169757798,402.70000000000000,397.09375000000000,6,2.00,1.20,2.25,7,-0.020809360164399,0.003003226071994,-0.078135763141667,0.02,0.05,-0.01,4
42217.000000000000000,0,28.57,0.094179907331926,-0.866163522747644,410.48387096774200,421.00000000000000,5,2.25,3.00,4.50,7,-0.010031327471829,-0.121917060522699,-0.115530794690340,-0.18,0.15,0.17,3
43910.000000000000000,0,66.67,-0.606134740916837,-0.032861047291584,447.81250000000000,515.62500000000000,4,3.08,2.60,4.00,8,-0.104632381861210,-0.167718606022394,-0.105417999503985,0.06,0.04,-0.40,
45892.000000000000000,0,0.00,-0.329828337536639,-0.508305151050793,416.53125000000000,391.00000000000000,4,2.08,3.00,3.50,7,-0.352176004246418,-0.383334716101512,-0.506994696180337,-0.06,-0.10,-0.29,
46362.000000000000000,0,33.33,-0.174157988504004,-0.498445906811565,390.09375000000000,368.46875000000000,3,2.50,3.40,1.00,7,0.003267959050788,0.082501581687792,0.099240191899944,-0.30,-0.22,-0.21,5
47183.000000000000000,0,50.00,-0.346220502578292,-0.164210777079331,624.54838709677400,490.96875000000000,3,2.25,1.60,3.25,9,-0.143931815695189,-0.196408112767887,-0.014180066307641,-0.22,-0.19,-0.34,5
52259.000000000000000,0,33.33,-0.123432773122615,-0.037786010134694,960.15625000000000,983.96875000000000,5,3.00,1.20,1.25,6,-0.062677417621842,-0.130336804592196,-0.106581550636078,0.01,-0.19,-0.23,
56727.000000000000000,0,7.14,-0.159546917983028,-0.247723704294201,341.28125000000000,336.45161290322600,1,2.17,2.60,4.00,4,-0.217243707850261,-0.274742831785658,-0.299035628028950,-0.33,-0.78,-0.20,
56817.000000000000000,0,80.00,0.288511119315023,0.000000000000000,560.25000000000000,499.93548387096800,5,2.33,2.40,1.75,7,0.041072322378829,0.037071650319126,-0.025432400257960,-0.10,0.12,0.02,3
56919.000000000000000,0,22.22,-0.669057763854572,-0.047796108942210,362.31250000000000,380.25000000000000,3,1.58,2.60,3.00,8,0.059651228552614,-0.003179256923280,-0.155642394225069,0.09,-0.08,0.00,4
58160.000000000000000,0,0.00,-0.234219194000000,0.043840620000000,426.84375000000000,431.48387096774200,6,2.42,2.00,3.50,6,-0.207720534091996,-0.056606911578900,0.059897446224239,-0.35,-0.41,-0.20,
