SubjectID,Gender,coratmpt_V1,Dcorrect_AllProblems_V1,Dwrong_AllProblems_V1,NONSTEMImageDotPmean_V1,STEMImageDotPmean_V1,effort_V1,GRIT_V1,mathdevalue_V1,MoodComp_V1,SAQ1_V1,WrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,WrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,WrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,WrongFeedback_DPD_SelectedModularity_Theta,WrongFeedback_DPD_SelectedModularity_Beta,WrongFeedback_DPD_SelectedModularity_Gamma,MajorChangeLikelihood_PostQ
11362,1,0,-0.873841185,-0.101962902,337.0322581,345.65625,4,2.25,1.8,3.5,7,-0.000677676,-0.187206604,-0.013596559,0,0.01,0.14,5
12124,1,40,-0.006545987,0.270838655,416.53125,403.90625,4,2.67,2.4,5,6,-0.146246286,-0.286326657,-0.26034028,-0.25,-0.32,-0.13,5
12705,1,50,0.127515715,-0.047996953,499.34375,476.375,7,3.17,1.4,4.25,5,-0.750286831,-0.326766303,-0.179022276,-0.14,-0.21,-0.24,
13331,1,60,-0.276353657,0.863974706,370.15625,370.875,4,2.58,3.4,5,9,0.017302901,-0.239222096,-0.076353132,0.08,-0.1,-0.12,
17409,1,80,-0.306659565,0.108523744,417.875,445.71875,6,2.83,2.8,3,6,-0.156491291,0.144495734,-0.049744174,-0.05,-0.04,-0.44,4
21613,1,76.92,-0.064088953,0.474288603,344.84375,371.65625,7,2.83,2,4,9,-0.003925722,0.135707292,0.178511593,-0.22,-0.13,0.08,5
21746,1,50,-0.367532397,0.147127298,332.125,333.625,6,2.75,4,2.25,7,0.082709369,0.071129006,-0.05147924,-0.12,-0.19,0.05,5
23064,1,66.67,-0.222755721,-0.674793114,372.2,361.78125,4,2.75,2.6,1.5,8,-0.302003119,-0.202225319,-0.236272173,-0.32,-0.17,-0.37,
23232,1,80,0.04501709,0.004398368,467.483871,441.96875,3,2.25,4.4,5,6,0.011493218,0.013455675,0.03368185,-0.01,-0.16,-0.22,
23505,1,,0.109475768,-0.141601405,326.53125,334.53125,4,2.83,1.6,2.5,6,-0.088960884,-0.326722012,-0.158188509,-0.29,-0.01,-0.31,3
32952,1,80,0.369046021,-0.698349969,317.0322581,316.7419355,7,2.83,1.8,2.5,8,0.136199714,0.084336468,-0.003694871,-0.06,-0.4,-0.51,
33678,1,100,-0.515301226,0.255130239,355.5625,374.9375,7,2.92,1,2.25,8,0.005276544,-0.206910929,-0.220642676,-0.13,-0.17,-0.21,4
36662,1,80,0.323037732,0.200272501,365.5625,317.78125,5,2.83,3,2.25,9,-0.377467638,-0.314936697,-0.33917876,0.01,0.05,-0.45,5
46550,1,33.33,0.031430223,-0.448519481,452,443.21875,6,2.33,2.2,1.75,6,-0.113934173,-0.040987531,0.02643261,-0.04,-0.28,-0.62,
47232,1,66.67,-0.201362781,0.093184352,368.6129032,392.3225806,5,2.83,1.8,3.25,7,-0.281692877,-0.236455996,-0.323938688,-0.07,-0.04,0.03,5
48111,1,83.33,-0.433359473,-0.147090947,431.21875,406.3125,5,1.25,1,1,9,-0.349569514,-0.289889533,-0.023811357,0.28,0.02,-0.05,5
48786,1,80,0.217361091,-0.717307093,304.5483871,319.7096774,7,2.17,2.2,2.5,9,0.005649149,-0.15118843,-0.038493985,-0.19,0.06,-0.03,5
50491,1,28.57,0.078373432,-0.7871365,614.125,503.28125,6,2.67,2,1.25,7,-0.198314578,-0.039643216,-0.075666498,-0.11,-0.01,-0.26,5
51363,1,50,-0.418349618,0.567846225,369,374.375,6,1.92,2,3.5,8,-0.157489287,-0.212429534,-0.301242599,-0.39,-0.49,-0.29,
52216,1,33.33,-0.390254473,-0.33152107,523.4516129,504.3548387,3,2.5,1.8,3.25,7,,,,,,,5
54792,1,75,0.024617846,-0.331296342,397.5625,381.28125,4,4,1.2,3.5,8,-0.058029152,-0.029773482,0.017901639,-0.01,-0.02,0.04,5
54982,1,75,-0.091781511,0.412656783,380.4375,364.34375,6,2.83,1.4,6.75,9,-0.452036283,-0.043532287,-0.160983407,-0.07,0.09,0.09,
56186,1,100,-0.717485988,0.218978666,338.9375,342,5,2.92,2,2.5,8,-0.003117842,-0.029697341,-0.154152884,-0.09,-0.04,-0.1,5
57324,1,50,-0.116147898,0.441585477,354.8125,348.25,6,2.67,4,2.75,5,-0.032086404,-0.081372009,-0.147081644,-0.01,0.04,0.01,5
58682,1,71.43,-0.093673213,0.168743326,318.0689655,310.2666667,2,1.5,2,5.75,9,0.05214338,-0.097003183,-0.047555943,0.11,-0.06,-0.11,5
58925,1,16.67,-0.464835618,0.086024145,400.65625,411,6,2.17,2.2,1.5,6,-0.220977805,-0.081505374,-0.157335978,-0.45,-0.31,-0.55,
64375,1,75,-0.361794001,-0.49613616,349.9375,335.1875,5,2.67,3.2,3.5,7,-0.195924272,-0.161170439,-0.033947238,-0.37,-0.01,-0.1,5
