SubjectID,Gender,MajorChangeLikelihood_PostQ,VisitCompleted,ZNONSTEMImageDotPmean_V1,ZSTEMImageDotPmean_V1,ZDcorrect_AllProblems_V1,ZDwrong_AllProblems_V1,Zmathdevalue_V1,ZGRIT_V1,Zcoratmpt_V1,ZMoodComp_V1,ZSAQ1_V1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta_A,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma_A,ZWrongFeedback_DPD_SelectedModularity_Theta,ZWrongFeedback_DPD_SelectedModularity_Beta,ZWrongFeedback_DPD_SelectedModularity_Gamma
11362,1,5,3,-0.37879,-0.61821,-2.22731,-0.29924,-0.59503,-0.60829,-1.80272,0.57481,-0.07065,0.86455,-0.53733,0.94887,0.51769,0.77137,1.55552
12124,1,5,1,-0.05858,-0.00058,0.32324,0.70563,0.08957,0.32153,-0.41506,1.62317,-0.91061,-0.19922,-1.40482,-1.16994,-0.9231,-1.21863,0.10008
12705,1,,2,0.27497,0.7678,0.71749,-0.15377,-1.05143,1.43731,-0.06815,1.09899,-1.75056,,-1.75874,-0.47166,-0.30433,-0.55361,-0.51285
13331,1,,3,-0.24537,-0.35081,-0.47022,2.30438,1.23057,0.13556,0.27876,1.62317,1.60926,0.99595,-0.99257,0.40997,0.97195,0.10785,0.14532
17409,1,4,3,-0.05317,0.44275,-0.55934,0.26812,0.54597,0.69345,0.97259,0.22535,-0.91061,-0.27408,2.3657,0.63847,0.21382,0.48497,-1.61734
21613,1,5,2,-0.34732,-0.34253,0.15401,1.25401,-0.36683,0.69345,0.86585,0.92426,1.60926,0.84082,2.28878,2.59852,-0.7448,-0.04171,1.2413
21746,1,5,2,-0.39855,-0.74577,-0.73836,0.37217,1.91517,0.50749,-0.06815,-0.29883,-0.07065,1.47392,1.7236,0.62357,-0.1694,-0.45277,1.06883
23064,1,,3,-0.23714,-0.44723,-0.3126,-1.84326,0.31777,0.50749,0.51004,-0.82302,0.7693,-1.33744,-0.66877,-0.96327,-1.31957,-0.32249,-1.25362
23232,1,,2,0.14665,0.40299,0.47487,-0.01255,2.37158,-0.60829,0.97259,1.62317,-0.91061,0.95349,1.21885,1.35486,0.44809,-0.25317,-0.4254
23505,1,3,3,-0.42108,-0.73616,0.66443,-0.40608,-0.82323,0.69345,,-0.12411,-0.91061,0.21941,-1.75836,-0.29275,-1.1937,0.69386,-0.89032
32952,1,,2,-0.45934,-0.92478,1.42778,-1.90676,-0.59503,0.69345,0.97259,-0.12411,0.7693,1.86481,1.83919,1.0339,0.18333,-1.74701,-2.02969
33678,1,4,4,-0.30415,-0.30774,-1.17292,0.66328,-1.50783,0.87942,1.66641,-0.29883,0.7693,0.90806,-0.70978,-0.82905,-0.22322,-0.30609,-0.3641
36662,1,5,4,-0.26387,-0.91376,1.29248,0.51542,0.77417,0.69345,0.97259,-0.29883,1.60926,-1.88891,-1.65521,-1.84694,0.61563,1.05626,-1.67637
46550,1,,1,0.08428,0.41625,0.43492,-1.23336,-0.13863,-0.42233,-0.64634,-0.64829,-0.91061,0.03691,0.74237,1.29261,0.32002,-0.98258,-2.60927
47232,1,5,2,-0.25159,-0.1234,-0.24968,0.22677,-0.59503,0.69345,0.51004,0.40008,-0.07065,-1.18902,-0.96836,-1.71607,0.09668,0.48078,0.96136
48111,1,5,3,0.00058,0.02493,-0.93194,-0.42088,-1.50783,-2.83985,1.08823,-1.17247,1.60926,-1.68504,-1.436,0.86116,2.18571,0.83903,0.52399
48786,1,5,4,-0.50962,-0.89332,0.9817,-1.95785,-0.13863,-0.79426,0.97259,-0.12411,1.60926,0.91079,-0.2221,0.73507,-0.55773,1.09926,0.61207
50491,1,5,1,0.73729,1.05309,0.57297,-2.14607,-0.36683,0.32153,-0.81154,-0.99774,-0.07065,-0.57972,0.75413,0.41587,-0.09095,0.67945,-0.63716
51363,1,,2,-0.25003,-0.3137,-0.8878,1.50619,-0.36683,-1.35215,-0.06815,0.57481,0.7693,-0.28138,-0.75808,-1.52117,-1.77831,-2.29759,-0.80341
52216,1,5,3,0.37207,1.06447,-0.80518,-0.91799,-0.59503,-0.0504,-0.64634,0.40008,-0.07065,,,,,,
54792,1,5,1,-0.13498,-0.24048,0.41488,-0.91739,-1.27963,3.29694,0.79913,0.57481,0.7693,0.44545,0.84051,1.21935,0.46991,0.6192,1.01335
54982,1,,4,-0.20396,-0.42006,0.07257,1.08789,-1.05143,0.69345,0.79913,2.84627,1.60926,-2.43383,0.72009,-0.31675,0.12716,1.31377,1.29636
56186,1,5,3,-0.37111,-0.65697,-1.7675,0.56584,-0.36683,0.87942,1.66641,-0.12411,0.7693,0.84672,0.84118,-0.2581,0.02533,0.47185,0.22556
