SubjectID,Gender,ZNBackAverage,ZTD1,ZTD2,ZSTEMAV2,ZNONSTEMAV2,ZDcorrect_Included,ZDwrong_Included,Zmathdevalue,ZGRIT_SCORE,Zcoratmpt,ZStigmaConsciousnessScore,ZMoodComp,ZSAQ1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma,ZWrongFeedback_DPD1_SelectedModularity_Theta,ZWrongFeedback_DPD1_SelectedModularity_Beta,ZWrongFeedback_DPD1_SelectedModularity_Gamma,ZSTEMGradeAll
11112.00,1,-0.02071,-0.45069,0.33604,-1.10578,-0.94416,-0.01954,0.21339,1.43174,-0.33093,-0.47257,-0.18360,1.92660,0.76471,-1.59545,-0.20304,1.54023,-0.24263,0.98675,0.83225,1.00824
11116.00,1,0.47848,0.89040,0.33604,3.01079,3.26425,-1.98186,0.78259,-0.50861,-1.07065,-0.26493,0.07405,-0.32166,-3.97650,0.14548,0.12107,-0.38711,0.89513,1.52491,1.42755,
11118.00,1,-0.02071,-0.45069,-0.24963,-0.52816,-0.35028,-2.35260,-1.49794,1.07895,-0.33093,1.50690,0.07405,0.92737,-1.26724,0.73572,-0.55960,-1.55390,0.49305,0.13665,0.04191,
11120.00,1,0.60328,0.21985,0.33604,0.28861,0.31645,-0.49576,0.18444,0.37337,0.40879,,0.20288,-1.15435,0.76471,1.22003,-0.51622,-1.03564,0.56888,1.08507,1.47981,1.46226
11122.00,1,-0.39510,0.21985,-0.24963,0.80411,1.60164,0.54591,0.67826,0.72616,0.40879,2.72503,-1.98718,0.09468,-0.58992,0.07510,-0.38753,0.38731,0.17853,0.75849,0.01757,-0.98945
11125.00,1,0.10409,0.89040,-1.42099,-0.61007,-0.53172,0.29811,0.37394,0.72616,0.03893,0.89783,-0.18360,-1.15435,-0.58992,0.67850,1.00704,1.08948,-0.57162,-0.25434,-0.17419,-0.08141
11128.00,1,-1.26868,-0.45069,-0.24963,-0.33465,-0.15954,-0.35799,0.16432,-0.50861,-0.70079,2.72503,-0.05478,-0.11349,-0.58992,-0.46998,-0.36797,0.12222,,-1.04002,-0.30107,-0.26302
11133.00,1,,-1.12124,0.33604,,,,,0.37337,0.40879,0.28876,-0.60229,-1.15435,0.76471,,,,,,,1.09904
11135.00,1,0.10409,0.21985,-0.83531,-0.77530,-0.63886,-0.66059,-0.47477,-0.86139,0.77865,0.53239,-0.16750,-1.15435,0.08740,-0.38954,-0.92721,-0.47255,0.74549,0.22223,0.94695,-0.35382
11136.00,1,0.97767,0.21985,-0.24963,0.14898,0.09596,0.09284,0.18141,0.02058,0.40879,2.72503,-0.82774,-1.15435,0.76471,-0.54651,-0.40443,-0.24971,0.44702,0.94594,0.83048,
22221.00,1,-0.76949,2.23149,-0.24963,1.42977,0.45950,0.70119,2.25101,0.54976,-1.07065,-0.92937,-0.05478,-0.94618,0.76471,0.12412,1.20222,1.35887,0.44575,0.47028,1.25362,0.19100
22222.00,1,0.85287,-0.45069,0.92172,-0.27604,-0.35178,1.62667,0.74815,0.02058,0.77865,-0.92937,0.70208,-0.32166,0.76471,,,,,,,0.73583
22224.00,1,0.35368,-1.79179,-2.00666,2.78913,3.46950,0.42961,0.18787,-1.21418,-0.33093,-0.92937,-0.14680,-0.52983,1.44203,-1.16411,-1.01628,-1.82517,0.42722,0.56461,1.11270,-0.89865
22225.00,1,0.22889,-1.12124,-0.83531,0.41175,0.46662,-0.11293,1.35349,0.02058,-0.70079,-0.92937,-0.50567,-0.32166,0.76471,-0.13172,0.63319,-0.06431,-0.14115,-0.06731,-0.01218,-0.35382
