SubjectID,Gender,ZNBackAverage,ZTD1,ZTD2,ZSTEMAV2,ZNONSTEMAV2,ZDcorrect_Included,ZDwrong_Included,Zmathdevalue,ZGRIT_SCORE,Zcoratmpt,ZStigmaConsciousnessScore,ZMoodComp,ZSAQ1,ZWrongFeedback_Arousal_emotion_SelectedModularity_Theta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Beta,ZWrongFeedback_Arousal_emotion_SelectedModularity_Gamma,ZWrongFeedback_DPD1_SelectedModularity_Theta,ZWrongFeedback_DPD1_SelectedModularity_Beta,ZWrongFeedback_DPD1_SelectedModularity_Gamma,ZSTEMGradeAll
11111,2,-1.51827,-0.45069,1.5074,-0.64777,-0.76648,,,1.07895,,-0.3203,,-0.52983,0.0874,0.73852,1.08916,0.28864,-0.57501,0.658,-0.89182,0.91743
11113,2,1.72645,0.21985,0.92172,-0.89032,-0.86019,1.33689,0.05345,-1.56697,0.77865,-0.92937,-0.60229,0.09468,0.0874,0.52754,-0.05346,-0.24923,1.22614,1.22267,0.29899,1.64387
11114,2,-0.89429,0.8904,-0.83531,0.0723,0.37263,0.0134,-0.05136,-0.86139,2.62795,0.28876,-0.1836,-1.15435,0.76471,1.35955,0.39508,-0.43674,0.7335,-0.59902,1.16306,-0.17221
11115,2,0.72308,-1.79179,1.5074,0.09699,0.35835,0.75444,-0.37436,1.43174,-2.18022,-0.92937,1.10467,-0.52983,-0.58992,-0.97078,0.51679,0.1391,-0.75768,,,1.28065
11117,2,1.10247,1.56094,-1.42099,-0.69571,-0.68497,-1.62439,0.6658,-1.03779,-2.55008,-0.19849,0.07405,-0.11349,0.0874,-0.27082,0.62075,0.20596,0.44906,0.39154,0.60924,0.91743
11119,2,0.10409,-0.45069,-0.24963,0.35407,0.0912,1.18746,0.04715,0.54976,-0.33093,-0.92937,-0.82774,-0.94618,0.0874,0.71801,-1.37975,-1.08868,0.00543,-0.76359,-0.14305,0.91743
11121,2,-0.64469,-0.45069,-0.24963,0.13527,-0.37349,0.36539,0.81852,0.37337,-0.70079,-0.92937,0.71819,-0.738,0.0874,-1.11574,-2.03385,-0.31726,0.52515,-0.6867,-1.86348,0.191
11123,2,1.22726,-0.45069,0.33604,-0.88086,-0.62596,-0.94169,-0.72712,-0.86139,0.40879,-0.19849,0.55715,1.76006,0.76471,-0.99919,-0.40891,-1.03476,0.80811,0.26969,0.84741,0.64502
11124,2,-0.64469,0.8904,0.92172,-1.0168,-0.77451,0.74692,1.17325,1.78453,-0.70079,0.44103,0.71819,0.30286,0.0874,-0.98246,-0.69044,-0.28025,-0.32937,0.16227,-0.08902,-0.71704
11126,2,-1.14388,0.8904,0.33604,-0.90644,-0.6426,-1.00187,-1.10766,1.96092,0.03893,-0.01577,1.86153,1.34372,-1.26724,-1.85722,-1.73857,-0.81249,-0.84498,0.28239,-0.59411,1.46226
11127,2,-2.51665,0.8904,-0.24963,-0.92662,-0.78601,,,-0.685,-0.33093,0.28876,0.20288,-0.94618,0.76471,0.17839,0.79234,0.59248,0.66075,0.82354,0.95139,0.91743
11129,2,-1.26868,0.21985,-0.83531,-1.5716,-1.57288,-0.33059,-0.29311,-0.50861,0.40879,0.6368,-0.1468,-0.11349,0.76471,-0.24441,-1.69408,-1.29229,0.45296,-0.06569,-0.30821,
11130,2,-0.3951,0.21985,-1.42099,-0.2545,-0.04622,0.89638,0.82383,-0.15582,2.25809,0.11475,0.46053,-1.15435,1.44203,1.05404,0.60806,0.38,0.21013,1.06913,0.61925,0.64502
11131,2,-1.14388,2.23149,1.5074,1.36458,1.73123,-0.62319,-0.6522,-1.56697,1.14851,-0.01577,-0.89215,0.7192,-0.58992,-0.09245,-1.19565,-0.0158,-0.28884,-0.5357,0.21638,0.73583
11132,2,,,,,,,,,,,,,,,,,,,,0.37261
