Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
13530.00,1.00,-0.51673,-0.52820,-0.65469,-0.77753,2,3,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00
14210.00,1.00,-0.28371,-0.42543,-0.49840,-0.52665,1,7,,,,,,,,,,,,,,,,
14246.00,1.00,,,,,,,,,,,,,,,,,,,,,,
16092.00,1.00,-0.80230,-0.94195,-0.70017,-0.74890,,,,,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,
16541.00,1.00,-0.61506,-0.64874,-0.72919,-0.69037,,,,,,,,,3.00,0.00,0.00,3.00,2.00,0.00,2.00,0.00,,
18727.00,1.00,-0.43091,0.23605,0.34093,0.28816,2,5,,,,,,,,,,,,,,,,
27062.00,1.00,0.76408,0.82572,0.79731,0.87320,2,5,,,,,,,,,,,,,,,,
29018.00,1.00,-0.09445,-0.06245,0.07076,0.08341,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00
32372.00,1.00,-0.72802,-0.75290,-1.17126,-0.85655,3,5,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
33646.00,1.00,,,,,,,,,,,,,,,,,,,,,,
39765.00,1.00,-0.65988,-0.81943,-0.75159,-0.62580,2,5,,,,,,,,,,,,,,,,
42211.00,1.00,-0.73580,-0.72309,-0.65830,-0.64523,2,4,,,,,,,,,,,,,,,,
49103.00,1.00,-0.62123,-0.73538,-0.71432,-0.96411,2,6,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49843.00,1.00,,,,,1,5,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
50816.00,1.00,-0.18370,-0.04907,-0.25932,-0.56580,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51880.00,1.00,0.07925,-0.01746,-0.47294,-0.42372,2,5,,,,,,,,,,,,,,,,
56290.00,1.00,-0.67713,-0.61851,-0.43766,-0.29575,4,4,,,,,,,,,,,,,,,,
58041.00,1.00,,,,,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00
59565.00,1.00,-0.61418,-0.38177,-0.25456,-0.70225,2,5,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
60428.00,1.00,-0.78902,-0.95120,-1.14004,-1.00046,5,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,3.00,1.00
63083.00,1.00,0.49432,1.10657,1.42154,1.03861,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
64240.00,1.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,
