Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
15420,3,,,,,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16411,3,-0.16499,-0.13104,-0.24999,0.18141,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
25003,3,0.08961,-0.17468,-0.2642,-0.0059,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25053,3,0.26095,0.22178,-0.36593,-0.34655,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25629,3,-0.23754,-0.36886,-0.38895,-0.50551,,,,,,,,,0,1,0,0,0,0,0,0,,
28271,3,-0.36442,-0.26047,-0.08247,-0.24509,2,5,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,2
31562,3,1.10053,0.87483,0.82748,0.79117,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
31790,3,-0.09318,-0.38215,-0.29777,-0.22983,,,,,,,,,0,0,0,0,0,0,0,0,,
31813,3,-0.0775,-0.34653,-0.67585,-0.41946,4,3,,,,,,,,,,,,,,,,
34382,3,0.01084,-0.50539,-0.7213,-0.50135,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40210,3,0.41756,0.27908,0.05622,0.07263,2,5,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
49160,3,-1.15714,-0.65672,-0.55587,-0.52052,4,5,,,,,,,0,0,1,0,0,1,1,2,,
52103,3,,,,,,,,,,,,,0,1,0,0,0,0,1,0,,
53054,3,-0.55002,-0.78412,-0.7471,-0.55803,2,2,,,,,,,,,,,,,,,,
53105,3,-0.77258,-0.56606,-0.43507,-0.38953,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
55414,3,-0.12128,-0.71361,-0.55229,-0.42698,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56690,3,0.11855,0.24781,0.41953,0.50969,1,4,,,,,,,,,,,,,,,,
65888,3,-0.39149,-0.89808,-0.59365,-0.52507,3,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
70420,3,-0.69202,-0.71508,-0.72824,-0.50163,4,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0
73175,3,0.43491,0.82261,0.64468,0.45978,3,2,,,,,,,0,0,0,0,0,0,1,0,,
