Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
13530,1,-0.51673,-0.5282,-0.65469,-0.77753,2,3,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0
14210,1,-0.28371,-0.42543,-0.4984,-0.52665,1,7,,,,,,,,,,,,,,,,
14246,1,,,,,,,,,,,,,,,,,,,,,,
16092,1,-0.8023,-0.94195,-0.70017,-0.7489,,,,,,,,,0,0,0,1,0,0,0,0,,
16541,1,-0.61506,-0.64874,-0.72919,-0.69037,,,,,,,,,3,0,0,3,2,0,2,0,,
18727,1,-0.43091,0.23605,0.34093,0.28816,2,5,,,,,,,,,,,,,,,,
27062,1,0.76408,0.82572,0.79731,0.8732,2,5,,,,,,,,,,,,,,,,
29018,1,-0.09445,-0.06245,0.07076,0.08341,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
32372,1,-0.72802,-0.7529,-1.17126,-0.85655,3,5,,,,,,,0,0,0,0,0,0,0,0,,
33646,1,,,,,,,,,,,,,,,,,,,,,,
39765,1,-0.65988,-0.81943,-0.75159,-0.6258,2,5,,,,,,,,,,,,,,,,
42211,1,-0.7358,-0.72309,-0.6583,-0.64523,2,4,,,,,,,,,,,,,,,,
49103,1,-0.62123,-0.73538,-0.71432,-0.96411,2,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49843,1,,,,,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
50816,1,-0.1837,-0.04907,-0.25932,-0.5658,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51880,1,0.07925,-0.01746,-0.47294,-0.42372,2,5,,,,,,,,,,,,,,,,
56290,1,-0.67713,-0.61851,-0.43766,-0.29575,4,4,,,,,,,,,,,,,,,,
58041,1,,,,,6,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
59565,1,-0.61418,-0.38177,-0.25456,-0.70225,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
60428,1,-0.78902,-0.9512,-1.14004,-1.00046,5,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,3,1
63083,1,0.49432,1.10657,1.42154,1.03861,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
64240,1,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,
64324,1,,,,,,,,,,,,,,,,,,,,,,
69726,1,-0.8622,-0.96703,-0.86566,-0.70548,,,,,,,,,1,1,0,0,0,0,0,0,,
71275,1,1.2977,2.03262,1.80076,1.72529,5,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0
76472,1,-0.51963,-0.48229,-0.49736,-0.58442,3,7,,,,,,,,,,,,,,,,
79918,1,-0.01395,-0.3328,0.12514,-0.06149,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
82305,1,-0.36118,-0.45619,-0.1105,-0.1184,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
82807,1,0.11586,0.12818,0.17059,0.20584,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84065,1,0.65026,0.67051,0.81586,0.55333,,,,,,,,,0,1,0,0,1,0,1,0,,
85083,1,,,,,,,,,,,,,,,,,,,,,,
86876,1,-0.00964,-0.14347,-0.28306,-0.51365,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
95143,1,-0.44784,-0.31527,-0.37173,-0.56098,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
95879,1,0.20725,0.27313,0.41125,0.57097,2,7,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0
