Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
12464,4,0.45451,0.19424,0.17567,0.38118,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19517,4,-0.24012,-0.54025,-0.43905,-0.20613,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26930,4,-0.16033,-0.40472,-0.51447,-0.3012,,,,,,,,,0,0,0,0,0,0,2,1,,
32777,4,0.23416,0.15734,0.26636,0.28856,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33958,4,-0.70199,-0.34387,-0.48901,-0.64277,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
34787,4,,,,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
35424,4,-0.78034,-0.50528,-0.41695,-0.37532,2,4,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0
37202,4,-0.10463,0.02321,-0.31091,-0.34927,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
38827,4,,,,,,,,,,,,,,,,,,,,,,
39190,4,-0.67434,-0.35043,-0.37963,-0.62724,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
42672,4,,,3.1234,,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
57635,4,-0.57136,-0.38716,-0.47066,-0.58038,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2
61523,4,-0.32356,-0.5675,-0.49823,-0.34789,,,,,,,,,1,1,0,0,1,0,2,0,,
63644,4,0.47647,0.5013,0.3435,0.60408,3,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0
75061,4,-0.34085,-0.48111,-0.68612,-0.91278,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78818,4,-0.51675,-0.22176,-0.1104,-0.31764,,,,,,,,,0,0,0,0,1,0,2,0,,
79171,4,,,,,,,,,,,,,,,,,,,,,,
81260,4,-0.35016,0.22479,0.26221,0.37152,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
84894,4,0.52179,0.52431,0.88328,0.90256,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85220,4,-0.13998,-0.08412,0.0507,0.33444,3,1,0,2,0,0,0,0,1,1,0,0,1,0,2,0,0,0
92675,4,0.78309,0.76211,0.75633,1.21217,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
93811,4,-0.08152,-0.26531,-0.22865,-0.30668,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
97882,4,-0.64869,-0.51572,-0.66792,-0.7623,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
97883,4,-0.18245,-0.16728,0.05238,-0.19239,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
