Subject,groups,ZWFDPDSST,ZwfbSNSA,ZWFBSNS,Zwfdpsng,MEM_V2,TD_V2,InternalNegativeTrait2,InternalPositiveTrait2,InternalValuing2,InternalDevaluing2,InternalNegative2,InternalPositive2,InternalNegativeTrait1,InternalPositiveTrait1,InternalValuing1,InternalDevaluing1,InternalNegative1,InternalPositive1,NegativeEmotions1,PositiveEmotions1,Neg2Emo,PositiveEmotions2
12047,2,,,,,,,,,,,,,0,0,0,0,0,0,2,0,,
20107,2,-0.47946,-0.39553,-0.23849,-0.46596,3,3,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0
21557,2,-0.1898,-0.25176,-0.4089,-0.24768,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21602,2,-0.49164,-0.46679,-0.39485,-0.43896,4,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
25521,2,-0.3486,-0.10857,-0.12413,-0.12153,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
27863,2,-0.4838,-0.09475,-0.05256,0.2301,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30445,2,-0.47366,-0.54689,-0.4147,-0.30444,4,4,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0
30524,2,0.44733,0.21368,0.19863,0.00447,2,4,,,,,,,0,1,0,0,0,0,1,0,,
33859,2,0.06162,-0.18944,-0.0012,-0.10218,4,5,,,,,,,,,,,,,,,,
36608,2,-0.69381,-0.25765,0.03937,0.06274,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
36944,2,-0.43878,-0.75111,-0.8368,-1.00109,,,,,,,,,0,0,0,0,0,0,1,0,,
46151,2,-0.2548,-0.30266,-0.07028,-0.38931,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47476,2,-0.53056,-0.58162,-0.57282,-0.59038,,,,,,,,,2,0,0,2,0,0,0,0,,
47913,2,-0.34735,-0.30277,-0.36807,-0.4181,4,2,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0
48221,2,0.08666,0.10185,-0.07216,0.18316,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52046,2,,,,,,,,,,,,,0,0,0,0,0,0,1,0,,
52495,2,-0.14185,-0.06472,0.18808,-0.15703,3,3,,,,,,,,,,,,,,,,
59937,2,,,,,6,5,,,,,,,0,0,0,0,0,0,2,1,,
64129,2,-0.39798,-0.19268,-0.13062,-0.37515,,,,,,,,,0,0,0,0,0,0,1,0,,
66173,2,,,,,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68236,2,-0.24085,-0.0603,-0.00689,-0.08916,3,5,1,0,0,1,0,0,0,0,0,2,2,0,3,0,3,0
69494,2,0.22036,-0.24212,-0.2464,-0.25697,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
75221,2,-0.36916,-0.47425,-0.5716,-0.56602,3,1,,,,,,,,,,,,,,,,
81234,2,1.40801,1.58599,1.69364,1.51062,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
81944,2,,,,,,,,,,,,,,,,,,,,,,
82848,2,-0.53134,-0.6578,-0.51208,-0.46885,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88179,2,0.20975,-0.16833,-0.27008,-0.3668,4,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1
91861,2,0.18962,0.58528,0.42139,0.15641,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92982,2,-0.14049,-0.27338,-0.60614,-0.14476,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
99919,2,-0.52333,-0.40781,-0.51112,-0.40169,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
