District,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019
1,13768,13765,13770,13791,13774,13780,13823,13846,13901,13870,13962,13983,14002,13992,14005,13063,13121,13184,13216,13259,13312,13328,13342,13348,13385,13411,13432,13425,16260,16256,16315,16388,16492,16677,16831,16772,17008,16429,16464,16506,16526,16548,16593,16618,16636,16588,16606,16631,16612,16647,16590,16617,16643,16637,16679,16658,16656,16640,16689,16309,16343,16370,16368,16367,16393,16426,16429,16443,16475,16522,16517,16525,16571,16584,16604,16635,16669,16718,16748,16906,16852,16924,17120,17237,17243,17217,16712,16735,16596,16645,16691,16691,16715,16714,16738,16761,16812,16831,16843,16915,16925,16936,16932,16946,16941,16916,16963,17267,17301,17306,17339,16837,16824,16841,16857,16877,16876,16840
2,12950,12976,12999,13054,13065,13102,13138,13163,13258,13241,13324,13338,13357,13406,13427,12365,12410,12469,12494,12518,12580,12630,12652,12683,12707,12762,12795,12821,13615,13629,13690,13744,13858,14029,14072,14050,14209,13736,13745,13779,13810,13845,13893,13921,13921,13897,13928,13892,13822,13817,13814,13827,13856,13918,13968,13966,13989,14000,14037,13677,13682,13747,13738,13760,13787,13833,13872,13905,13950,13988,14004,14024,14076,14115,14233,14279,14324,14351,14400,14697,14774,14986,15184,15347,15419,15466,14926,14956,14837,14856,14859,14905,14895,14890,14920,14931,14942,14940,14955,14969,14968,14994,15013,15049,15085,15132,15194,15426,15515,15532,15534,15124,15171,15219,15227,15231,15236,15203
3,12596,12634,12662,12718,12734,12733,12784,12794,12821,12797,12859,12890,12916,12962,12995,11787,11818,11832,11835,11857,11881,11900,11935,11946,11962,12008,12048,12050,13632,13665,13751,13795,13857,13966,14041,14025,14186,13747,13788,13817,13791,13811,13852,13877,13877,13789,13840,13834,13779,13787,13792,13798,13818,13820,13862,13865,13873,13852,13885,13411,13446,13475,13464,13464,13470,13518,13559,13564,13601,13619,13620,13625,13626,13675,13691,13688,13696,13700,13698,13898,13884,13978,14158,14299,14315,14311,13852,13851,13764,13761,13777,13790,13785,13818,13804,13769,13793,13778,13768,13767,13750,13747,13755,13777,13807,13824,13874,14100,14106,14132,14177,13809,13826,13844,13861,13846,13863,13827
4,16163,16197,16187,16217,16260,16297,16386,16421,16452,16481,16537,16571,16607,16627,16636,14786,14822,14859,14906,14963,15067,15049,15094,15095,15118,15181,15216,15217,17645,17696,17818,17919,18039,18141,18194,18183,18396,17695,17690,17687,17605,17654,17736,17809,17800,17784,17847,17867,17857,17856,17829,17834,17842,17871,17958,17964,17997,17998,17921,17570,17601,17602,17549,17537,17546,17633,17743,17803,17856,17873,17915,17945,17977,18007,18046,18119,18170,18244,18270,18367,18199,18372,18568,18753,18814,18821,18208,18258,17919,17968,17995,18061,18082,18085,18101,18104,18168,18115,18127,18177,18158,18159,18177,18152,18200,18260,18329,18646,18682,18703,18732,18178,18192,18235,18299,18222,18259,18223
5,13954,13981,14015,14063,14083,14128,14182,14247,14323,14319,14456,14499,14542,14566,14609,13328,13394,13436,13487,13550,13619,13673,13740,13783,13815,13868,13949,13961,14701,14727,14797,14838,14951,15153,15282,15248,15468,14697,14733,14725,14729,14765,14830,14902,14937,14936,14969,15003,15021,15047,15047,15072,15098,15130,15172,15181,15209,15218,15262,15168,15204,15193,15197,15201,15214,15214,15247,15279,15292,15322,15340,15387,15413,15485,15566,15606,15648,15679,15719,15747,15742,15856,16089,16315,16370,16389,15967,15999,15875,15895,15948,15952,15950,15985,15986,16014,16032,16026,16064,16067,16045,16071,16101,16118,16153,16195,16279,16605,16623,16610,16637,16261,16280,16326,16356,16368,16370,16341
6,16774,16804,16796,16824,16841,16866,16926,16942,16976,16950,17013,17037,17065,17084,17083,15381,15412,15439,15479,15501,15550,15536,15552,15562,15594,15618,15652,15655,17989,18030,18072,18151,18244,18385,18374,18389,18598,18147,18131,18134,18087,18086,18126,18163,18146,18086,18104,18089,17995,17985,17957,17966,17977,17974,18033,18015,18011,18004,17929,17749,17781,17759,17708,17702,17708,17744,17822,17842,17858,17884,17919,17935,17950,17974,18055,18121,18192,18229,18235,18304,18142,18292,18472,18744,18783,18773,18396,18424,18124,18126,18118,18172,18165,18184,18177,18164,18206,18179,18182,18193,18172,18203,18240,18215,18226,18244,18310,18637,18646,18659,18645,18284,18306,18324,18357,18335,18347,18323
7,15068,15064,15064,15079,15069,15090,15127,15143,15121,15123,15204,15225,15259,15261,15258,14364,14372,14384,14395,14395,14413,14399,14407,14407,14425,14449,14462,14459,16533,16570,16638,16681,16767,16902,16907,16945,17112,16631,16636,16659,16615,16619,16672,16732,16710,16637,16633,16627,16550,16557,16578,16628,16640,16665,16714,16707,16728,16693,16690,16535,16572,16579,16546,16565,16552,16565,16604,16614,16636,16675,16702,16735,16767,16819,16906,16977,17055,17091,17129,17195,17066,17194,17375,17573,17604,17609,17178,17200,16936,16960,16956,16979,16974,16998,16987,16990,17025,16990,17018,17061,17030,17066,17075,17056,17040,17011,17049,17346,17397,17435,17452,17199,17238,17256,17315,17297,17307,17270
8,20093,20130,20172,20249,20303,20366,20522,20586,20680,20694,20802,20913,20967,21029,21106,20304,20352,20411,20476,20560,20622,20658,20715,20734,20805,20895,20957,20986,14828,14874,14985,15055,15135,15336,15384,15437,15729,15494,15533,15569,15569,15591,15655,15686,15704,15659,15706,15680,15664,15688,15685,15714,15734,15744,15818,15830,15878,15860,15942,16120,16171,16176,16141,16170,16191,16237,16306,16335,16373,16412,16430,16488,16510,16566,16628,16680,16753,16781,16819,16889,16885,17046,17408,17762,17799,17833,17566,17581,17425,17466,17481,17522,17525,17556,17562,17579,17572,17567,17607,17662,17657,17699,17740,17720,17756,17791,17972,18580,18648,18678,18702,18397,18461,18477,18530,18513,18525,18500
9,19590,19616,19623,19694,19742,19777,19885,19944,20055,20093,20247,20292,20371,20406,20459,19623,19692,19758,19818,19856,19935,19964,19997,20047,20104,20172,20239,20277,13812,13850,13942,14013,14157,14406,14445,14543,14862,14748,14799,14862,14892,14919,14986,15043,15063,15098,15149,15182,15202,15220,15251,15300,15335,15379,15495,15537,15621,15658,15770,16050,16109,16144,16157,16220,16257,16334,16466,16550,16657,16756,16828,16923,17031,17192,17342,17444,17554,17647,17746,17919,18032,18236,18644,19080,19171,19216,19110,19198,19129,19243,19345,19462,19516,19587,19654,19726,19885,19905,19967,20068,20091,20200,20310,20357,20458,20594,20765,21400,21510,21557,21629,21468,21543,21656,21777,21844,21934,21950
10,16357,16379,16395,16449,16454,16499,16545,16572,16586,16580,16667,16697,16718,16743,16753,15007,15039,15091,15142,15174,15224,15218,15241,15262,15288,15359,15403,15423,16551,16569,16621,16671,16715,16812,16817,16844,17043,16566,16538,16555,16510,16517,16574,16611,16584,16533,16535,16528,16458,16433,16413,16423,16431,16439,16498,16490,16492,16453,16456,16204,16227,16214,16214,16248,16247,16283,16339,16367,16386,16399,16427,16483,16534,16558,16617,16630,16667,16702,16738,16789,16655,16758,16972,17179,17183,17196,16738,16766,16507,16521,16538,16548,16528,16552,16523,16553,16576,16548,16570,16578,16549,16563,16575,16545,16507,16487,16558,16894,16947,16964,16981,16601,16623,16631,16679,16634,16649,16614
